:Data_list: 20210625_ace_swepam_1m.txt
:Created: 2021 Jun 26 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2021 06 25  0000   59390       0    0        5.2      374.1     8.34e+04
2021 06 25  0001   59390      60    0        5.0      372.9     8.02e+04
2021 06 25  0002   59390     120    3    -9999.9    -9999.9    -1.00e+05
2021 06 25  0003   59390     180    3    -9999.9    -9999.9    -1.00e+05
2021 06 25  0004   59390     240    0        4.7      371.9     7.68e+04
2021 06 25  0005   59390     300    0        4.4      372.5     7.06e+04
2021 06 25  0006   59390     360    0        4.8      369.7     6.19e+04
2021 06 25  0007   59390     420    1        4.8      369.9     6.90e+04
2021 06 25  0008   59390     480    0        4.6      370.1     7.58e+04
2021 06 25  0009   59390     540    0        3.4      371.3     7.28e+04
2021 06 25  0010   59390     600    1        4.5      367.6     5.90e+04
2021 06 25  0011   59390     660    0        4.6      368.0     6.84e+04
2021 06 25  0012   59390     720    0        4.8      367.6     6.89e+04
2021 06 25  0013   59390     780    0        3.9      366.3     6.79e+04
2021 06 25  0014   59390     840    0        4.2      366.7     6.63e+04
2021 06 25  0015   59390     900    0        4.6      368.3     7.23e+04
2021 06 25  0016   59390     960    0        4.7      368.6     6.91e+04
2021 06 25  0017   59390    1020    0        4.1      366.5     6.60e+04
2021 06 25  0018   59390    1080    0        4.2      364.6     6.60e+04
2021 06 25  0019   59390    1140    0        4.5      362.8     6.53e+04
2021 06 25  0020   59390    1200    0        4.4      360.9     6.76e+04
2021 06 25  0021   59390    1260    0        4.2      362.2     7.13e+04
2021 06 25  0022   59390    1320    0        3.7      364.3     7.41e+04
2021 06 25  0023   59390    1380    0        4.3      361.8     9.23e+04
2021 06 25  0024   59390    1440    0        4.2      361.4     8.38e+04
2021 06 25  0025   59390    1500    0        4.1      360.1     8.52e+04
2021 06 25  0026   59390    1560    0        3.5      361.3     8.46e+04
2021 06 25  0027   59390    1620    0        4.1      357.2     8.82e+04
2021 06 25  0028   59390    1680    0        3.9      357.9     8.33e+04
2021 06 25  0029   59390    1740    0        4.3      362.5     6.84e+04
2021 06 25  0030   59390    1800    0        3.6      362.9     6.72e+04
2021 06 25  0031   59390    1860    0        3.9      362.3     6.84e+04
2021 06 25  0032   59390    1920    0        4.2      362.0     6.71e+04
2021 06 25  0033   59390    1980    0        4.5      364.0     6.79e+04
2021 06 25  0034   59390    2040    0        4.6      365.6     6.92e+04
2021 06 25  0035   59390    2100    0        4.0      365.6     6.17e+04
2021 06 25  0036   59390    2160    0        4.2      364.4     6.21e+04
2021 06 25  0037   59390    2220    0        4.4      362.2     6.37e+04
2021 06 25  0038   59390    2280    0        4.0      362.4     6.74e+04
2021 06 25  0039   59390    2340    0        3.7      363.0     7.38e+04
2021 06 25  0040   59390    2400    0        4.0      361.5     8.17e+04
2021 06 25  0041   59390    2460    0        4.3      362.1     6.96e+04
2021 06 25  0042   59390    2520    0        4.3      363.7     7.09e+04
2021 06 25  0043   59390    2580    0        3.3      362.4     7.16e+04
2021 06 25  0044   59390    2640    0        4.5      369.3     8.07e+04
2021 06 25  0045   59390    2700    0        4.7      369.4     7.97e+04
2021 06 25  0046   59390    2760    0        4.1      369.4     8.56e+04
2021 06 25  0047   59390    2820    0        3.7      366.6     9.44e+04
2021 06 25  0048   59390    2880    0        4.0      364.9     9.70e+04
2021 06 25  0049   59390    2940    0        4.2      363.9     9.42e+04
2021 06 25  0050   59390    3000    0        4.1      361.9     9.04e+04
2021 06 25  0051   59390    3060    0        4.0      359.1     8.51e+04
2021 06 25  0052   59390    3120    0        4.3      358.3     8.03e+04
2021 06 25  0053   59390    3180    0        4.5      358.7     8.36e+04
2021 06 25  0054   59390    3240    0        4.0      355.8     8.97e+04
2021 06 25  0055   59390    3300    0        4.2      357.4     8.76e+04
2021 06 25  0056   59390    3360    0        4.6      365.5     1.01e+05
2021 06 25  0057   59390    3420    0        5.0      362.3     9.83e+04
2021 06 25  0058   59390    3480    0        3.5      363.1     1.17e+05
2021 06 25  0059   59390    3540    0        3.6      367.0     1.14e+05
2021 06 25  0100   59390    3600    0        3.6      369.3     9.55e+04
