:Data_list: 20140711_ace_sis_5m.txt
:Created: 2014 Jul 12 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2014 07 11  0000    56849       0      0    1.10e+00    0    7.31e-01
2014 07 11  0005    56849     300      0    1.13e+00    0    7.61e-01
2014 07 11  0010    56849     600      0    1.12e+00    0    7.59e-01
2014 07 11  0015    56849     900      0    1.10e+00    0    7.31e-01
2014 07 11  0020    56849    1200      0    1.15e+00    0    7.66e-01
2014 07 11  0025    56849    1500      0    1.12e+00    0    7.41e-01
2014 07 11  0030    56849    1800      0    1.11e+00    0    7.44e-01
2014 07 11  0035    56849    2100      0    1.12e+00    0    7.36e-01
2014 07 11  0040    56849    2400      0    1.11e+00    0    7.31e-01
2014 07 11  0045    56849    2700      0    1.12e+00    0    7.44e-01
2014 07 11  0050    56849    3000      0    1.12e+00    0    7.46e-01
2014 07 11  0055    56849    3300      0    1.10e+00    0    7.36e-01
2014 07 11  0100    56849    3600      0    1.09e+00    0    7.31e-01
2014 07 11  0105    56849    3900      0    1.12e+00    0    7.36e-01
2014 07 11  0110    56849    4200      0    1.14e+00    0    7.56e-01
2014 07 11  0115    56849    4500      0    1.12e+00    0    7.36e-01
2014 07 11  0120    56849    4800      0    1.09e+00    0    7.21e-01
2014 07 11  0125    56849    5100      0    1.11e+00    0    7.31e-01
2014 07 11  0130    56849    5400      0    1.08e+00    0    7.09e-01
2014 07 11  0135    56849    5700      0    1.09e+00    0    7.23e-01
2014 07 11  0140    56849    6000      0    1.10e+00    0    7.29e-01
2014 07 11  0145    56849    6300      0    1.11e+00    0    7.32e-01
2014 07 11  0150    56849    6600      0    1.11e+00    0    7.34e-01
2014 07 11  0155    56849    6900      0    1.10e+00    0    7.31e-01
2014 07 11  0200    56849    7200      0    1.10e+00    0    7.27e-01
2014 07 11  0205    56849    7500      0    1.10e+00    0    7.37e-01
2014 07 11  0210    56849    7800      0    1.12e+00    0    7.38e-01
2014 07 11  0215    56849    8100      0    1.11e+00    0    7.41e-01
2014 07 11  0220    56849    8400      0    1.11e+00    0    7.35e-01
2014 07 11  0225    56849    8700      0    1.09e+00    0    7.16e-01
2014 07 11  0230    56849    9000      0    1.10e+00    0    7.35e-01
2014 07 11  0235    56849    9300      0    1.10e+00    0    7.24e-01
2014 07 11  0240    56849    9600      0    1.09e+00    0    7.19e-01
2014 07 11  0245    56849    9900      0    1.13e+00    0    7.44e-01
2014 07 11  0250    56849   10200      0    1.13e+00    0    7.55e-01
2014 07 11  0255    56849   10500      0    1.14e+00    0    7.58e-01
2014 07 11  0300    56849   10800      0    1.10e+00    0    7.24e-01
2014 07 11  0305    56849   11100      0    1.10e+00    0    7.22e-01
2014 07 11  0310    56849   11400      0    1.11e+00    0    7.39e-01
2014 07 11  0315    56849   11700      0    1.13e+00    0    7.52e-01
2014 07 11  0320    56849   12000      0    1.14e+00    0    7.51e-01
2014 07 11  0325    56849   12300      0    1.13e+00    0    7.49e-01
2014 07 11  0330    56849   12600      0    1.11e+00    0    7.31e-01
2014 07 11  0335    56849   12900      0    1.12e+00    0    7.39e-01
2014 07 11  0340    56849   13200      0    1.10e+00    0    7.19e-01
2014 07 11  0345    56849   13500      0    1.14e+00    0    7.61e-01
2014 07 11  0350    56849   13800      0    1.09e+00    0    7.29e-01
2014 07 11  0355    56849   14100      0    1.09e+00    0    7.19e-01
2014 07 11  0400    56849   14400      0    1.12e+00    0    7.46e-01
2014 07 11  0405    56849   14700      0    1.09e+00    0    7.19e-01
2014 07 11  0410    56849   15000      0    1.11e+00    0    7.31e-01
2014 07 11  0415    56849   15300      0    1.12e+00    0    7.40e-01
2014 07 11  0420    56849   15600      0    1.12e+00    0    7.33e-01
2014 07 11  0425    56849   15900      0    1.12e+00    0    7.47e-01
2014 07 11  0430    56849   16200      0    1.06e+00    0    7.05e-01
2014 07 11  0435    56849   16500      0    1.10e+00    0    7.34e-01
2014 07 11  0440    56849   16800      0    1.11e+00    0    7.36e-01
2014 07 11  0445    56849   17100      0    1.12e+00    0    7.38e-01
2014 07 11  0450    56849   17400      0    1.10e+00    0    7.18e-01
2014 07 11  0455    56849   17700      0    1.08e+00    0    7.09e-01
2014 07 11  0500    56849   18000      0    1.09e+00    0    7.19e-01
2014 07 11  0505    56849   18300      0    1.10e+00    0    7.20e-01
2014 07 11  0510    56849   18600      0    1.10e+00    0    7.36e-01
2014 07 11  0515    56849   18900      0    1.10e+00    0    7.29e-01
2014 07 11  0520    56849   19200      0    1.10e+00    0    7.22e-01
2014 07 11  0525    56849   19500      0    1.11e+00    0    7.32e-01
2014 07 11  0530    56849   19800      0    1.12e+00    0    7.40e-01
2014 07 11  0535    56849   20100      0    1.13e+00    0    7.49e-01
2014 07 11  0540    56849   20400      0    1.10e+00    0    7.23e-01
2014 07 11  0545    56849   20700      0    1.10e+00    0    7.26e-01
2014 07 11  0550    56849   21000      0    1.12e+00    0    7.41e-01
2014 07 11  0555    56849   21300      0    1.10e+00    0    7.28e-01
2014 07 11  0600    56849   21600      0    1.12e+00    0    7.40e-01
2014 07 11  0605    56849   21900      0    1.09e+00    0    7.21e-01
