:Data_list: 20180608_ace_mag_1m.txt
:Created: 2018 Jun 08 0901 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              1-minute averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2018 06 08  0000   58277       0    0    -1.9    -3.6    -0.9     4.1   -12.3   241.6
2018 06 08  0001   58277      60    0    -1.5    -3.8    -0.5     4.1    -6.7   248.2
2018 06 08  0002   58277     120    0    -1.4    -3.6    -0.7     3.9   -10.5   249.3
2018 06 08  0003   58277     180    0    -1.5    -3.4    -1.4     3.9   -20.2   246.2
2018 06 08  0004   58277     240    0    -1.6    -3.3    -1.4     3.9   -20.4   244.8
2018 06 08  0005   58277     300    0    -1.7    -3.2    -1.5     3.9   -22.8   241.5
2018 06 08  0006   58277     360    0    -1.2    -3.5    -0.6     3.8    -9.5   251.9
2018 06 08  0007   58277     420    0    -1.2    -3.3    -0.9     3.6   -14.9   250.4
2018 06 08  0008   58277     480    0    -1.1    -3.3    -0.8     3.6   -12.7   252.0
2018 06 08  0009   58277     540    0    -1.5    -4.0    -0.7     4.3    -8.8   249.4
2018 06 08  0010   58277     600    0    -1.7    -4.1    -0.4     4.5    -5.5   248.0
2018 06 08  0011   58277     660    0    -1.6    -4.2    -0.5     4.6    -5.7   249.1
2018 06 08  0012   58277     720    0    -1.4    -4.3    -0.0     4.5    -0.5   251.5
2018 06 08  0013   58277     780    0    -1.7    -4.2     0.2     4.5     2.0   247.9
2018 06 08  0014   58277     840    0    -1.3    -4.2    -0.3     4.4    -3.2   252.8
2018 06 08  0015   58277     900    0    -1.4    -4.3     0.1     4.5     1.1   252.2
2018 06 08  0016   58277     960    0    -1.7    -4.1     0.1     4.4     1.8   247.9
2018 06 08  0017   58277    1020    0    -1.8    -4.0     0.1     4.4     1.3   245.4
2018 06 08  0018   58277    1080    0    -2.2    -3.7     1.0     4.5    13.3   239.5
2018 06 08  0019   58277    1140    0    -2.3    -3.8     0.9     4.5    11.5   238.3
2018 06 08  0020   58277    1200    0    -1.9    -4.0     0.1     4.4     1.2   244.5
2018 06 08  0021   58277    1260    0    -2.2    -4.0    -0.0     4.5    -0.3   241.7
2018 06 08  0022   58277    1320    0    -1.9    -4.0    -0.3     4.5    -4.0   245.1
2018 06 08  0023   58277    1380    0    -1.0    -3.6    -1.0     3.8   -15.1   254.1
2018 06 08  0024   58277    1440    0    -1.6    -3.8    -0.5     4.2    -6.3   247.9
2018 06 08  0025   58277    1500    0    -2.4    -3.7     0.8     4.4    10.9   237.0
2018 06 08  0026   58277    1560    0    -2.3    -3.7     0.3     4.3     3.6   238.3
2018 06 08  0027   58277    1620    0    -1.8    -3.8    -0.0     4.2    -0.2   244.6
2018 06 08  0028   58277    1680    0    -1.0    -4.1    -0.8     4.3   -11.4   256.6
2018 06 08  0029   58277    1740    0    -1.0    -4.2    -0.3     4.4    -4.5   256.7
2018 06 08  0030   58277    1800    0    -2.8    -3.9     1.4     5.0    16.7   234.1
2018 06 08  0031   58277    1860    0    -2.8    -4.0     1.4     5.1    16.1   234.5
2018 06 08  0032   58277    1920    0    -2.5    -4.0     0.7     4.8     8.6   238.2
2018 06 08  0033   58277    1980    0    -2.5    -4.0     0.7     4.7     8.2   238.4
2018 06 08  0034   58277    2040    0    -2.7    -3.8     0.9     4.7    10.6   234.8
2018 06 08  0035   58277    2100    0    -2.5    -3.9     0.7     4.7     8.8   237.2
2018 06 08  0036   58277    2160    0    -2.0    -3.8     0.5     4.3     6.0   242.6
2018 06 08  0037   58277    2220    0    -2.6    -3.9     0.7     4.7     8.7   236.5
2018 06 08  0038   58277    2280    0    -2.5    -3.3     1.1     4.3    14.7   232.1
2018 06 08  0039   58277    2340    0    -3.0    -3.2     1.5     4.6    18.6   227.4
2018 06 08  0040   58277    2400    0    -3.3    -1.7     1.9     4.2    27.3   207.1
2018 06 08  0041   58277    2460    0    -3.6    -1.8     1.8     4.4    24.6   206.4
2018 06 08  0042   58277    2520    0    -3.9    -1.4     1.7     4.5    22.3   200.3
2018 06 08  0043   58277    2580    0    -3.1    -1.8     1.4     3.8    20.8   210.2
2018 06 08  0044   58277    2640    0    -1.8    -2.9    -0.1     3.4    -1.8   238.1
2018 06 08  0045   58277    2700    0    -1.4    -3.2     0.0     3.4     0.6   246.8
2018 06 08  0046   58277    2760    0    -1.0    -3.1    -0.1     3.3    -1.1   252.6
2018 06 08  0047   58277    2820    0    -1.0    -3.3     0.1     3.4     2.0   253.2
2018 06 08  0048   58277    2880    0    -1.0    -3.8    -1.7     4.3   -22.8   255.6
2018 06 08  0049   58277    2940    0    -0.6    -4.0    -1.6     4.4   -21.9   262.1
2018 06 08  0050   58277    3000    0    -0.4    -4.1    -1.6     4.4   -20.7   264.7
2018 06 08  0051   58277    3060    0    -0.2    -4.1    -1.6     4.4   -21.3   266.9
2018 06 08  0052   58277    3120    0    -0.2    -4.0    -1.9     4.5   -24.9   266.8
2018 06 08  0053   58277    3180    0    -0.3    -3.9    -2.0     4.4   -27.4   266.2
2018 06 08  0054   58277    3240    0    -0.3    -3.8    -2.2     4.4   -29.6   265.0
2018 06 08  0055   58277    3300    0    -0.2    -3.6    -2.4     4.3   -33.7   266.2
2018 06 08  0056   58277    3360    0    -0.3    -3.6    -2.4     4.4   -33.9   265.5
2018 06 08  0057   58277    3420    0    -0.3    -3.4    -2.9     4.5   -39.7   264.6
2018 06 08  0058   58277    3480    0    -0.1    -3.9    -2.4     4.5   -31.9   269.0
2018 06 08  0059   58277    3540    0    -0.1    -3.8    -2.4     4.5   -31.5   267.8
2018 06 08  0100   58277    3600    0    -0.1    -3.7    -2.6     4.5   -35.1   267.7
2018 06 08  0101   58277    3660    0    -0.3    -3.6    -2.7     4.5   -36.3   265.1
2018 06 08  0102   58277    3720    0    -0.2    -3.7    -2.6     4.5   -35.3   267.3
