:Data_list: 20180608_ace_sis_5m.txt
:Created: 2018 Jun 09 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2018 06 08  0000    58277       0      0    2.19e+00    0    1.54e+00
2018 06 08  0005    58277     300      0    2.18e+00    0    1.53e+00
2018 06 08  0010    58277     600      0    2.22e+00    0    1.55e+00
2018 06 08  0015    58277     900      0    2.22e+00    0    1.56e+00
2018 06 08  0020    58277    1200      0    2.22e+00    0    1.55e+00
2018 06 08  0025    58277    1500      0    2.17e+00    0    1.51e+00
2018 06 08  0030    58277    1800      0    2.23e+00    0    1.57e+00
2018 06 08  0035    58277    2100      0    2.24e+00    0    1.57e+00
2018 06 08  0040    58277    2400      0    2.26e+00    0    1.58e+00
2018 06 08  0045    58277    2700      0    2.21e+00    0    1.54e+00
2018 06 08  0050    58277    3000      0    2.26e+00    0    1.58e+00
2018 06 08  0055    58277    3300      0    2.22e+00    0    1.55e+00
2018 06 08  0100    58277    3600      0    2.19e+00    0    1.53e+00
2018 06 08  0105    58277    3900      0    2.20e+00    0    1.53e+00
2018 06 08  0110    58277    4200      0    2.24e+00    0    1.57e+00
2018 06 08  0115    58277    4500      0    2.24e+00    0    1.58e+00
2018 06 08  0120    58277    4800      0    2.20e+00    0    1.55e+00
2018 06 08  0125    58277    5100      0    2.23e+00    0    1.56e+00
2018 06 08  0130    58277    5400      0    2.21e+00    0    1.54e+00
2018 06 08  0135    58277    5700      0    2.21e+00    0    1.53e+00
2018 06 08  0140    58277    6000      0    2.25e+00    0    1.58e+00
2018 06 08  0145    58277    6300      0    2.25e+00    0    1.57e+00
2018 06 08  0150    58277    6600      0    2.20e+00    0    1.54e+00
2018 06 08  0155    58277    6900      0    2.20e+00    0    1.55e+00
2018 06 08  0200    58277    7200      0    2.25e+00    0    1.56e+00
2018 06 08  0205    58277    7500      0    2.20e+00    0    1.52e+00
2018 06 08  0210    58277    7800      0    2.18e+00    0    1.52e+00
2018 06 08  0215    58277    8100      0    2.17e+00    0    1.51e+00
2018 06 08  0220    58277    8400      0    2.22e+00    0    1.57e+00
2018 06 08  0225    58277    8700      0    2.19e+00    0    1.53e+00
2018 06 08  0230    58277    9000      0    2.26e+00    0    1.57e+00
2018 06 08  0235    58277    9300      0    2.22e+00    0    1.55e+00
2018 06 08  0240    58277    9600      0    2.24e+00    0    1.57e+00
2018 06 08  0245    58277    9900      0    2.24e+00    0    1.58e+00
2018 06 08  0250    58277   10200      0    2.26e+00    0    1.58e+00
2018 06 08  0255    58277   10500      0    2.25e+00    0    1.56e+00
2018 06 08  0300    58277   10800      0    2.24e+00    0    1.56e+00
2018 06 08  0305    58277   11100      0    2.22e+00    0    1.56e+00
2018 06 08  0310    58277   11400      0    2.23e+00    0    1.58e+00
2018 06 08  0315    58277   11700      0    2.25e+00    0    1.57e+00
2018 06 08  0320    58277   12000      0    2.21e+00    0    1.54e+00
2018 06 08  0325    58277   12300      0    2.13e+00    0    1.49e+00
2018 06 08  0330    58277   12600      0    2.25e+00    0    1.57e+00
2018 06 08  0335    58277   12900      0    2.24e+00    0    1.55e+00
2018 06 08  0340    58277   13200      0    2.21e+00    0    1.54e+00
2018 06 08  0345    58277   13500      0    2.26e+00    0    1.58e+00
2018 06 08  0350    58277   13800      0    2.22e+00    0    1.55e+00
2018 06 08  0355    58277   14100      0    2.19e+00    0    1.51e+00
2018 06 08  0400    58277   14400      0    2.24e+00    0    1.58e+00
2018 06 08  0405    58277   14700      0    2.21e+00    0    1.56e+00
2018 06 08  0410    58277   15000      0    2.20e+00    0    1.54e+00
2018 06 08  0415    58277   15300      0    2.20e+00    0    1.55e+00
2018 06 08  0420    58277   15600      0    2.24e+00    0    1.55e+00
2018 06 08  0425    58277   15900      0    2.19e+00    0    1.52e+00
2018 06 08  0430    58277   16200      0    2.19e+00    0    1.53e+00
2018 06 08  0435    58277   16500      0    2.22e+00    0    1.54e+00
2018 06 08  0440    58277   16800      0    2.17e+00    0    1.53e+00
2018 06 08  0445    58277   17100      0    2.24e+00    0    1.58e+00
2018 06 08  0450    58277   17400      0    2.26e+00    0    1.57e+00
2018 06 08  0455    58277   17700      0    2.24e+00    0    1.57e+00
2018 06 08  0500    58277   18000      0    2.22e+00    0    1.54e+00
2018 06 08  0505    58277   18300      0    2.22e+00    0    1.54e+00
2018 06 08  0510    58277   18600      0    2.23e+00    0    1.56e+00
2018 06 08  0515    58277   18900      0    2.23e+00    0    1.57e+00
2018 06 08  0520    58277   19200      0    2.20e+00    0    1.53e+00
2018 06 08  0525    58277   19500      0    2.27e+00    0    1.59e+00
2018 06 08  0530    58277   19800      0    2.28e+00    0    1.59e+00
2018 06 08  0535    58277   20100      0    2.21e+00    0    1.56e+00
2018 06 08  0540    58277   20400      0    2.23e+00    0    1.57e+00
2018 06 08  0545    58277   20700      0    2.26e+00    0    1.59e+00
2018 06 08  0550    58277   21000      0    2.27e+00    0    1.60e+00
2018 06 08  0555    58277   21300      0    2.24e+00    0    1.57e+00
2018 06 08  0600    58277   21600      0    2.26e+00    0    1.59e+00
2018 06 08  0605    58277   21900      0    2.19e+00    0    1.53e+00
2018 06 08  0610    58277   22200      0    2.23e+00    0    1.56e+00
2018 06 08  0615    58277   22500      0    2.21e+00    0    1.55e+00
2018 06 08  0620    58277   22800      0    2.21e+00    0    1.53e+00
2018 06 08  0625    58277   23100      0    2.27e+00    0    1.60e+00
2018 06 08  0630    58277   23400      0    2.23e+00    0    1.57e+00
2018 06 08  0635    58277   23700      0    2.17e+00    0    1.51e+00
2018 06 08  0640    58277   24000      0    2.24e+00    0    1.58e+00
2018 06 08  0645    58277   24300      0    2.21e+00    0    1.54e+00
2018 06 08  0650    58277   24600      0    2.21e+00    0    1.55e+00
2018 06 08  0655    58277   24900      0    2.21e+00    0    1.54e+00
2018 06 08  0700    58277   25200      0    2.22e+00    0    1.56e+00
2018 06 08  0705    58277   25500      0    2.23e+00    0    1.55e+00
2018 06 08  0710    58277   25800      0    2.26e+00    0    1.58e+00
2018 06 08  0715    58277   26100      0    2.18e+00    0    1.53e+00
2018 06 08  0720    58277   26400      0    2.26e+00    0    1.59e+00
2018 06 08  0725    58277   26700      0    2.22e+00    0    1.56e+00
2018 06 08  0730    58277   27000      0    2.19e+00    0    1.53e+00
2018 06 08  0735    58277   27300      0    2.25e+00    0    1.56e+00
2018 06 08  0740    58277   27600      0    2.22e+00    0    1.55e+00
2018 06 08  0745    58277   27900      0    2.25e+00    0    1.58e+00
2018 06 08  0750    58277   28200      0    2.20e+00    0    1.53e+00
2018 06 08  0755    58277   28500      0    2.21e+00    0    1.54e+00
2018 06 08  0800    58277   28800      0    2.19e+00    0    1.54e+00
2018 06 08  0805    58277   29100      0    2.22e+00    0    1.55e+00
2018 06 08  0810    58277   29400      0    2.29e+00    0    1.58e+00
2018 06 08  0815    58277   29700      0    2.25e+00    0    1.59e+00
2018 06 08  0820    58277   30000      0    2.18e+00    0    1.52e+00
2018 06 08  0825    58277   30300      0    2.26e+00    0    1.59e+00
2018 06 08  0830    58277   30600      0    2.25e+00    0    1.58e+00
2018 06 08  0835    58277   30900      0    2.24e+00    0    1.56e+00
2018 06 08  0840    58277   31200      0    2.26e+00    0    1.58e+00
2018 06 08  0845    58277   31500      0    2.22e+00    0    1.55e+00
2018 06 08  0850    58277   31800      0    2.25e+00    0    1.57e+00
2018 06 08  0855    58277   32100      0    2.23e+00    0    1.56e+00
2018 06 08  0900    58277   32400      0    2.19e+00    0    1.54e+00
2018 06 08  0905    58277   32700      0    2.21e+00    0    1.55e+00
2018 06 08  0910    58277   33000      0    2.22e+00    0    1.55e+00
2018 06 08  0915    58277   33300      0    2.30e+00    0    1.61e+00
2018 06 08  0920    58277   33600      0    2.24e+00    0    1.58e+00
2018 06 08  0925    58277   33900      0    2.22e+00    0    1.55e+00
2018 06 08  0930    58277   34200      0    2.28e+00    0    1.60e+00
2018 06 08  0935    58277   34500      0    2.27e+00    0    1.58e+00
2018 06 08  0940    58277   34800      0    2.26e+00    0    1.59e+00
2018 06 08  0945    58277   35100      0    2.23e+00    0    1.56e+00
2018 06 08  0950    58277   35400      0    2.28e+00    0    1.59e+00
2018 06 08  0955    58277   35700      0    2.22e+00    0    1.55e+00
2018 06 08  1000    58277   36000      0    2.23e+00    0    1.56e+00
2018 06 08  1005    58277   36300      0    2.25e+00    0    1.57e+00
2018 06 08  1010    58277   36600      0    2.17e+00    0    1.51e+00
2018 06 08  1015    58277   36900      0    2.19e+00    0    1.54e+00
2018 06 08  1020    58277   37200      0    2.24e+00    0    1.58e+00
2018 06 08  1025    58277   37500      0    2.27e+00    0    1.59e+00
2018 06 08  1030    58277   37800      0    2.26e+00    0    1.59e+00
2018 06 08  1035    58277   38100      0    2.26e+00    0    1.57e+00
2018 06 08  1040    58277   38400      0    2.23e+00    0    1.55e+00
2018 06 08  1045    58277   38700      0    2.26e+00    0    1.58e+00
2018 06 08  1050    58277   39000      0    2.23e+00    0    1.58e+00
2018 06 08  1055    58277   39300      0    2.24e+00    0    1.56e+00
2018 06 08  1100    58277   39600      0    2.24e+00    0    1.56e+00
2018 06 08  1105    58277   39900      0    2.20e+00    0    1.54e+00
2018 06 08  1110    58277   40200      0    2.24e+00    0    1.58e+00
2018 06 08  1115    58277   40500      0    2.24e+00    0    1.57e+00
2018 06 08  1120    58277   40800      0    2.22e+00    0    1.55e+00
2018 06 08  1125    58277   41100      0    2.21e+00    0    1.55e+00
2018 06 08  1130    58277   41400      0    2.26e+00    0    1.58e+00
2018 06 08  1135    58277   41700      0    2.22e+00    0    1.56e+00
2018 06 08  1140    58277   42000      0    2.24e+00    0    1.58e+00
2018 06 08  1145    58277   42300      0    2.22e+00    0    1.56e+00
2018 06 08  1150    58277   42600      0    2.25e+00    0    1.60e+00
2018 06 08  1155    58277   42900      0    2.25e+00    0    1.60e+00
2018 06 08  1200    58277   43200      0    2.25e+00    0    1.56e+00
2018 06 08  1205    58277   43500      0    2.26e+00    0    1.59e+00
2018 06 08  1210    58277   43800      0    2.22e+00    0    1.55e+00
2018 06 08  1215    58277   44100      0    2.27e+00    0    1.59e+00
2018 06 08  1220    58277   44400      0    2.24e+00    0    1.56e+00
2018 06 08  1225    58277   44700      0    2.19e+00    0    1.53e+00
2018 06 08  1230    58277   45000      0    2.24e+00    0    1.57e+00
2018 06 08  1235    58277   45300      0    2.22e+00    0    1.55e+00
2018 06 08  1240    58277   45600      0    2.24e+00    0    1.57e+00
2018 06 08  1245    58277   45900      0    2.26e+00    0    1.57e+00
2018 06 08  1250    58277   46200      0    2.24e+00    0    1.57e+00
2018 06 08  1255    58277   46500      0    2.23e+00    0    1.55e+00
2018 06 08  1300    58277   46800      0    2.22e+00    0    1.55e+00
2018 06 08  1305    58277   47100      0    2.27e+00    0    1.60e+00
2018 06 08  1310    58277   47400      0    2.28e+00    0    1.59e+00
2018 06 08  1315    58277   47700      0    2.23e+00    0    1.57e+00
2018 06 08  1320    58277   48000      0    2.26e+00    0    1.57e+00
2018 06 08  1325    58277   48300      0    2.23e+00    0    1.57e+00
2018 06 08  1330    58277   48600      0    2.21e+00    0    1.54e+00
2018 06 08  1335    58277   48900      0    2.20e+00    0    1.54e+00
2018 06 08  1340    58277   49200      0    2.19e+00    0    1.51e+00
2018 06 08  1345    58277   49500      0    2.19e+00    0    1.54e+00
2018 06 08  1350    58277   49800      0    2.21e+00    0    1.55e+00
2018 06 08  1355    58277   50100      0    2.29e+00    0    1.62e+00
2018 06 08  1400    58277   50400      0    2.23e+00    0    1.56e+00
2018 06 08  1405    58277   50700      0    2.26e+00    0    1.58e+00
2018 06 08  1410    58277   51000      0    2.23e+00    0    1.56e+00
2018 06 08  1415    58277   51300      0    2.24e+00    0    1.55e+00
2018 06 08  1420    58277   51600      0    2.21e+00    0    1.53e+00
2018 06 08  1425    58277   51900      0    2.22e+00    0    1.54e+00
2018 06 08  1430    58277   52200      0    2.22e+00    0    1.55e+00
2018 06 08  1435    58277   52500      0    2.25e+00    0    1.57e+00
2018 06 08  1440    58277   52800      0    2.20e+00    0    1.55e+00
2018 06 08  1445    58277   53100      0    2.20e+00    0    1.52e+00
2018 06 08  1450    58277   53400      0    2.16e+00    0    1.52e+00
2018 06 08  1455    58277   53700      0    2.33e+00    0    1.61e+00
2018 06 08  1500    58277   54000      0    2.28e+00    0    1.59e+00
2018 06 08  1505    58277   54300      0    2.21e+00    0    1.57e+00
2018 06 08  1510    58277   54600      0    2.20e+00    0    1.50e+00
2018 06 08  1515    58277   54900      0    2.13e+00    0    1.50e+00
2018 06 08  1520    58277   55200      0    2.22e+00    0    1.54e+00
2018 06 08  1525    58277   55500      0    2.23e+00    0    1.56e+00
2018 06 08  1530    58277   55800      0    2.07e+00    0    1.45e+00
2018 06 08  1535    58277   56100      0    2.24e+00    0    1.58e+00
