:Data_list: 20221006_ace_mag_1m.txt
:Created: 2022 Oct 06 0901 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              1-minute averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2022 10 06  0000   59858       0    0    -5.9     0.8    -1.4     6.1   -13.4   172.1
2022 10 06  0001   59858      60    0    -5.8     0.7    -1.6     6.1   -15.6   173.2
2022 10 06  0002   59858     120    0    -5.7     1.3    -1.6     6.1   -15.3   167.7
2022 10 06  0003   59858     180    0    -5.6     1.4    -1.6     6.0   -15.1   165.9
2022 10 06  0004   59858     240    0    -5.7     1.1    -1.4     5.9   -13.2   168.8
2022 10 06  0005   59858     300    0    -5.6     1.3    -1.4     6.0   -13.8   167.2
2022 10 06  0006   59858     360    0    -5.7     0.7    -1.5     5.9   -14.9   173.2
2022 10 06  0007   59858     420    0    -5.9     0.3    -1.0     6.0   -10.1   177.0
2022 10 06  0008   59858     480    0    -5.6     1.6    -0.7     5.9    -7.3   164.0
2022 10 06  0009   59858     540    0    -5.9     1.5    -0.3     6.1    -2.6   165.4
2022 10 06  0010   59858     600    0    -5.6     2.4     0.4     6.1     3.5   157.3
2022 10 06  0011   59858     660    0    -5.5     2.1     0.2     5.9     2.1   159.1
2022 10 06  0012   59858     720    0    -6.0     0.6     0.4     6.0     3.9   174.5
2022 10 06  0013   59858     780    0    -5.9    -1.5     0.0     6.1     0.5   194.5
2022 10 06  0014   59858     840    0    -5.8     0.7     0.7     5.9     6.6   173.6
2022 10 06  0015   59858     900    0    -5.9    -1.2    -0.7     6.1    -6.5   191.3
2022 10 06  0016   59858     960    0    -6.0    -0.1     0.6     6.0     5.6   181.1
2022 10 06  0017   59858    1020    0    -5.8     0.8     1.1     6.0    10.2   171.9
2022 10 06  0018   59858    1080    0    -5.0     2.9     1.7     6.0    16.3   150.0
2022 10 06  0019   59858    1140    0    -5.2     2.3     1.7     5.9    16.9   156.4
2022 10 06  0020   59858    1200    0    -4.7     3.1     1.8     5.9    17.4   146.9
2022 10 06  0021   59858    1260    0    -4.4     3.6     1.7     5.9    17.0   140.4
2022 10 06  0022   59858    1320    0    -4.4     3.5     1.7     5.9    16.8   141.6
2022 10 06  0023   59858    1380    0    -4.7     3.3     1.4     5.9    13.3   145.0
2022 10 06  0024   59858    1440    0    -5.5     2.0     1.3     6.0    12.7   159.8
2022 10 06  0025   59858    1500    0    -5.3     0.2     1.2     5.4    12.8   178.2
2022 10 06  0026   59858    1560    0    -5.7    -1.1     1.2     5.9    11.6   190.4
2022 10 06  0027   59858    1620    0    -5.7     0.0     1.6     5.9    15.8   179.6
2022 10 06  0028   59858    1680    0    -5.6     1.5     1.4     6.0    13.3   164.8
2022 10 06  0029   59858    1740    0    -5.5     2.1     1.1     6.0    10.6   159.3
2022 10 06  0030   59858    1800    0    -5.4     2.2     1.0     5.9    10.2   157.4
2022 10 06  0031   59858    1860    0    -5.3     2.3     1.0     5.8     9.9   156.8
2022 10 06  0032   59858    1920    0    -5.4     2.2     1.0     5.9     9.4   157.8
2022 10 06  0033   59858    1980    0    -5.4     2.4     0.7     5.9     6.5   156.2
2022 10 06  0034   59858    2040    0    -5.3     2.7    -0.0     5.9    -0.5   153.2
2022 10 06  0035   59858    2100    0    -5.4     2.8    -0.3     6.1    -2.6   152.7
2022 10 06  0036   59858    2160    0    -5.2     2.8    -0.4     5.9    -4.2   151.8
2022 10 06  0037   59858    2220    0    -5.3     2.6    -0.0     5.9    -0.2   153.3
2022 10 06  0038   59858    2280    0    -5.4     2.6    -0.6     6.0    -5.2   154.7
2022 10 06  0039   59858    2340    0    -5.3     2.3    -1.7     6.0   -16.7   156.9
2022 10 06  0040   59858    2400    0    -5.5     2.1    -0.8     6.0    -7.9   159.1
2022 10 06  0041   59858    2460    0    -5.1     2.5    -1.2     5.8   -12.1   154.3
2022 10 06  0042   59858    2520    0    -5.1     2.8    -1.4     6.0   -13.9   151.0
2022 10 06  0043   59858    2580    0    -4.8     2.6    -1.8     5.7   -18.0   151.0
2022 10 06  0044   59858    2640    0    -5.0     2.2    -2.1     5.9   -21.0   156.2
2022 10 06  0045   59858    2700    0    -5.4     2.3    -2.2     6.2   -20.6   157.0
2022 10 06  0046   59858    2760    0    -5.3     2.2     1.2     5.8    11.8   157.7
2022 10 06  0047   59858    2820    0    -5.3     1.8     1.9     5.9    19.2   161.2
2022 10 06  0048   59858    2880    0    -4.6     1.2     2.6     5.4    28.4   166.0
2022 10 06  0049   59858    2940    0    -2.6     0.4     4.7     5.4    60.9   170.7
2022 10 06  0050   59858    3000    0    -2.7     0.2     4.7     5.5    60.0   174.8
2022 10 06  0051   59858    3060    0    -2.1    -0.2     5.1     5.5    67.8   185.4
2022 10 06  0052   59858    3120    0    -3.5     1.3     3.4     5.0    42.4   158.9
2022 10 06  0053   59858    3180    0    -3.7     3.4    -2.0     5.4   -22.3   137.3
2022 10 06  0054   59858    3240    0    -2.0     4.1    -3.8     5.9   -39.8   116.1
2022 10 06  0055   59858    3300    0    -1.7     3.2    -4.4     5.7   -50.3   118.5
2022 10 06  0056   59858    3360    0    -4.2     3.0    -1.8     5.5   -19.3   144.1
2022 10 06  0057   59858    3420    0    -4.2     3.6    -2.3     5.9   -22.3   139.3
2022 10 06  0058   59858    3480    0    -4.4     3.2    -2.4     5.9   -23.9   143.8
2022 10 06  0059   59858    3540    0    -4.7     2.8    -1.7     5.7   -17.0   149.2
2022 10 06  0100   59858    3600    0    -5.5     1.6     0.5     5.7     5.2   163.7
2022 10 06  0101   59858    3660    0    -5.5     1.5     0.5     5.7     4.8   164.9
2022 10 06  0102   59858    3720    0    -5.3    -0.0     1.8     5.6    18.8   180.1
2022 10 06  0103   59858    3780    0    -5.1    -0.0     2.0     5.5    21.5   180.3
2022 10 06  0104   59858    3840    0    -4.9    -0.6     2.4     5.5    25.9   186.6
2022 10 06  0105   59858    3900    0    -4.7    -1.3     2.3     5.4    25.7   195.5
2022 10 06  0106   59858    3960    0    -5.2     0.1     1.4     5.4    14.5   179.3
2022 10 06  0107   59858    4020    0    -5.3     0.2     0.3     5.4     3.1   177.5
2022 10 06  0108   59858    4080    0    -5.4     0.5     0.3     5.4     3.7   175.2
2022 10 06  0109   59858    4140    0    -4.9    -0.8     1.6     5.2    17.8   189.6
2022 10 06  0110   59858    4200    0    -4.9    -1.1     1.6     5.3    18.3   192.7
2022 10 06  0111   59858    4260    0    -4.9     0.1     1.6     5.2    18.4   178.7
2022 10 06  0112   59858    4320    0    -4.9     0.1     2.6     5.5    27.9   178.5
2022 10 06  0113   59858    4380    0    -4.6    -1.1     2.5     5.3    27.7   193.6
2022 10 06  0114   59858    4440    0    -4.6     0.1     2.8     5.4    31.4   178.4
2022 10 06  0115   59858    4500    0    -4.7     0.7     2.6     5.4    28.5   171.5
2022 10 06  0116   59858    4560    0    -2.9     3.6    -1.1     4.8   -13.7   128.4
2022 10 06  0117   59858    4620    0    -2.7     4.1    -1.6     5.2   -18.1   124.0
2022 10 06  0118   59858    4680    0    -4.5     1.7     1.0     4.9    11.2   159.0
2022 10 06  0119   59858    4740    0    -5.0     0.3     2.2     5.5    24.0   176.9
2022 10 06  0120   59858    4800    0    -5.0     0.4     2.4     5.5    25.6   175.3
