:Data_list: 20190128_ace_sis_5m.txt
:Created: 2019 Jan 29 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2019 01 28  0000    58511       0      9   -1.00e+05    9   -1.00e+05
2019 01 28  0005    58511     300      9   -1.00e+05    9   -1.00e+05
2019 01 28  0010    58511     600      9   -1.00e+05    9   -1.00e+05
2019 01 28  0015    58511     900      9   -1.00e+05    9   -1.00e+05
2019 01 28  0020    58511    1200      9   -1.00e+05    9   -1.00e+05
2019 01 28  0025    58511    1500      9   -1.00e+05    9   -1.00e+05
2019 01 28  0030    58511    1800      9   -1.00e+05    9   -1.00e+05
2019 01 28  0035    58511    2100      9   -1.00e+05    9   -1.00e+05
2019 01 28  0040    58511    2400      9   -1.00e+05    9   -1.00e+05
2019 01 28  0045    58511    2700      9   -1.00e+05    9   -1.00e+05
2019 01 28  0050    58511    3000      9   -1.00e+05    9   -1.00e+05
2019 01 28  0055    58511    3300      9   -1.00e+05    9   -1.00e+05
2019 01 28  0100    58511    3600      9   -1.00e+05    9   -1.00e+05
2019 01 28  0105    58511    3900      9   -1.00e+05    9   -1.00e+05
2019 01 28  0110    58511    4200      9   -1.00e+05    9   -1.00e+05
2019 01 28  0115    58511    4500      9   -1.00e+05    9   -1.00e+05
2019 01 28  0120    58511    4800      9   -1.00e+05    9   -1.00e+05
2019 01 28  0125    58511    5100      9   -1.00e+05    9   -1.00e+05
2019 01 28  0130    58511    5400      9   -1.00e+05    9   -1.00e+05
2019 01 28  0135    58511    5700      9   -1.00e+05    9   -1.00e+05
2019 01 28  0140    58511    6000      9   -1.00e+05    9   -1.00e+05
2019 01 28  0145    58511    6300      9   -1.00e+05    9   -1.00e+05
2019 01 28  0150    58511    6600      9   -1.00e+05    9   -1.00e+05
2019 01 28  0155    58511    6900      9   -1.00e+05    9   -1.00e+05
2019 01 28  0200    58511    7200      9   -1.00e+05    9   -1.00e+05
2019 01 28  0205    58511    7500      9   -1.00e+05    9   -1.00e+05
2019 01 28  0210    58511    7800      9   -1.00e+05    9   -1.00e+05
2019 01 28  0215    58511    8100      9   -1.00e+05    9   -1.00e+05
2019 01 28  0220    58511    8400      9   -1.00e+05    9   -1.00e+05
2019 01 28  0225    58511    8700      9   -1.00e+05    9   -1.00e+05
2019 01 28  0230    58511    9000      9   -1.00e+05    9   -1.00e+05
2019 01 28  0235    58511    9300      9   -1.00e+05    9   -1.00e+05
2019 01 28  0240    58511    9600      9   -1.00e+05    9   -1.00e+05
2019 01 28  0245    58511    9900      9   -1.00e+05    9   -1.00e+05
2019 01 28  0250    58511   10200      9   -1.00e+05    9   -1.00e+05
2019 01 28  0255    58511   10500      9   -1.00e+05    9   -1.00e+05
2019 01 28  0300    58511   10800      9   -1.00e+05    9   -1.00e+05
2019 01 28  0305    58511   11100      9   -1.00e+05    9   -1.00e+05
2019 01 28  0310    58511   11400      9   -1.00e+05    9   -1.00e+05
2019 01 28  0315    58511   11700      9   -1.00e+05    9   -1.00e+05
2019 01 28  0320    58511   12000      9   -1.00e+05    9   -1.00e+05
2019 01 28  0325    58511   12300      9   -1.00e+05    9   -1.00e+05
