:Data_list: 20220326_ace_sis_5m.txt
:Created: 2022 Mar 26 0901 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2022 03 26  0000    59664       0      9   -1.00e+05    9   -1.00e+05
2022 03 26  0005    59664     300      9   -1.00e+05    9   -1.00e+05
2022 03 26  0010    59664     600      9   -1.00e+05    9   -1.00e+05
2022 03 26  0015    59664     900      9   -1.00e+05    9   -1.00e+05
2022 03 26  0020    59664    1200      9   -1.00e+05    9   -1.00e+05
2022 03 26  0025    59664    1500      9   -1.00e+05    9   -1.00e+05
2022 03 26  0030    59664    1800      9   -1.00e+05    9   -1.00e+05
2022 03 26  0035    59664    2100      9   -1.00e+05    9   -1.00e+05
2022 03 26  0040    59664    2400      9   -1.00e+05    9   -1.00e+05
2022 03 26  0045    59664    2700      9   -1.00e+05    9   -1.00e+05
2022 03 26  0050    59664    3000      9   -1.00e+05    9   -1.00e+05
2022 03 26  0055    59664    3300      9   -1.00e+05    9   -1.00e+05
2022 03 26  0100    59664    3600      9   -1.00e+05    9   -1.00e+05
2022 03 26  0105    59664    3900      9   -1.00e+05    9   -1.00e+05
2022 03 26  0110    59664    4200      9   -1.00e+05    9   -1.00e+05
2022 03 26  0115    59664    4500      9   -1.00e+05    9   -1.00e+05
2022 03 26  0120    59664    4800      9   -1.00e+05    9   -1.00e+05
2022 03 26  0125    59664    5100      9   -1.00e+05    9   -1.00e+05
2022 03 26  0130    59664    5400      9   -1.00e+05    9   -1.00e+05
2022 03 26  0135    59664    5700      9   -1.00e+05    9   -1.00e+05
2022 03 26  0140    59664    6000      9   -1.00e+05    9   -1.00e+05
2022 03 26  0145    59664    6300      9   -1.00e+05    9   -1.00e+05
2022 03 26  0150    59664    6600      9   -1.00e+05    9   -1.00e+05
2022 03 26  0155    59664    6900      9   -1.00e+05    9   -1.00e+05
2022 03 26  0200    59664    7200      9   -1.00e+05    9   -1.00e+05
2022 03 26  0205    59664    7500      9   -1.00e+05    9   -1.00e+05
2022 03 26  0210    59664    7800      9   -1.00e+05    9   -1.00e+05
2022 03 26  0215    59664    8100      9   -1.00e+05    9   -1.00e+05
2022 03 26  0220    59664    8400      9   -1.00e+05    9   -1.00e+05
2022 03 26  0225    59664    8700      9   -1.00e+05    9   -1.00e+05
2022 03 26  0230    59664    9000      9   -1.00e+05    9   -1.00e+05
2022 03 26  0235    59664    9300      9   -1.00e+05    9   -1.00e+05
2022 03 26  0240    59664    9600      9   -1.00e+05    9   -1.00e+05
2022 03 26  0245    59664    9900      9   -1.00e+05    9   -1.00e+05
2022 03 26  0250    59664   10200      9   -1.00e+05    9   -1.00e+05
2022 03 26  0255    59664   10500      9   -1.00e+05    9   -1.00e+05
2022 03 26  0300    59664   10800      9   -1.00e+05    9   -1.00e+05
2022 03 26  0305    59664   11100      9   -1.00e+05    9   -1.00e+05
2022 03 26  0310    59664   11400      9   -1.00e+05    9   -1.00e+05
2022 03 26  0315    59664   11700      9   -1.00e+05    9   -1.00e+05
2022 03 26  0320    59664   12000      9   -1.00e+05    9   -1.00e+05
2022 03 26  0325    59664   12300      9   -1.00e+05    9   -1.00e+05
2022 03 26  0330    59664   12600      9   -1.00e+05    9   -1.00e+05
2022 03 26  0335    59664   12900      9   -1.00e+05    9   -1.00e+05
2022 03 26  0340    59664   13200      9   -1.00e+05    9   -1.00e+05
2022 03 26  0345    59664   13500      9   -1.00e+05    9   -1.00e+05
2022 03 26  0350    59664   13800      9   -1.00e+05    9   -1.00e+05
2022 03 26  0355    59664   14100      9   -1.00e+05    9   -1.00e+05
2022 03 26  0400    59664   14400      9   -1.00e+05    9   -1.00e+05
2022 03 26  0405    59664   14700      9   -1.00e+05    9   -1.00e+05
2022 03 26  0410    59664   15000      9   -1.00e+05    9   -1.00e+05
2022 03 26  0415    59664   15300      9   -1.00e+05    9   -1.00e+05
2022 03 26  0420    59664   15600      9   -1.00e+05    9   -1.00e+05
2022 03 26  0425    59664   15900      9   -1.00e+05    9   -1.00e+05
2022 03 26  0430    59664   16200      9   -1.00e+05    9   -1.00e+05
2022 03 26  0435    59664   16500      9   -1.00e+05    9   -1.00e+05
2022 03 26  0440    59664   16800      9   -1.00e+05    9   -1.00e+05
2022 03 26  0445    59664   17100      9   -1.00e+05    9   -1.00e+05
2022 03 26  0450    59664   17400      9   -1.00e+05    9   -1.00e+05
2022 03 26  0455    59664   17700      9   -1.00e+05    9   -1.00e+05
2022 03 26  0500    59664   18000      9   -1.00e+05    9   -1.00e+05
2022 03 26  0505    59664   18300      9   -1.00e+05    9   -1.00e+05
2022 03 26  0510    59664   18600      9   -1.00e+05    9   -1.00e+05
2022 03 26  0515    59664   18900      9   -1.00e+05    9   -1.00e+05
2022 03 26  0520    59664   19200      9   -1.00e+05    9   -1.00e+05
2022 03 26  0525    59664   19500      9   -1.00e+05    9   -1.00e+05
2022 03 26  0530    59664   19800      9   -1.00e+05    9   -1.00e+05
2022 03 26  0535    59664   20100      9   -1.00e+05    9   -1.00e+05
2022 03 26  0540    59664   20400      9   -1.00e+05    9   -1.00e+05
2022 03 26  0545    59664   20700      9   -1.00e+05    9   -1.00e+05
2022 03 26  0550    59664   21000      9   -1.00e+05    9   -1.00e+05
2022 03 26  0555    59664   21300      0    2.20e+00    0    1.55e+00
2022 03 26  0600    59664   21600      0    2.16e+00    0    1.51e+00
2022 03 26  0605    59664   21900      0    2.17e+00    0    1.52e+00
2022 03 26  0610    59664   22200      0    2.19e+00    0    1.53e+00
2022 03 26  0615    59664   22500      0    2.18e+00    0    1.53e+00
2022 03 26  0620    59664   22800      0    2.20e+00    0    1.54e+00
2022 03 26  0625    59664   23100      0    2.22e+00    0    1.55e+00
2022 03 26  0630    59664   23400      0    2.18e+00    0    1.52e+00
2022 03 26  0635    59664   23700      0    2.17e+00    0    1.53e+00
