:Data_list: 20220802_ace_sis_5m.txt
:Created: 2022 Aug 03 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2022 08 02  0000    59793       0      0    1.66e+00    0    1.16e+00
2022 08 02  0005    59793     300      0    1.64e+00    0    1.14e+00
2022 08 02  0010    59793     600      0    1.67e+00    0    1.17e+00
2022 08 02  0015    59793     900      0    1.62e+00    0    1.12e+00
2022 08 02  0020    59793    1200      0    1.65e+00    0    1.16e+00
2022 08 02  0025    59793    1500      0    1.66e+00    0    1.16e+00
2022 08 02  0030    59793    1800      0    1.66e+00    0    1.16e+00
2022 08 02  0035    59793    2100      0    1.66e+00    0    1.17e+00
2022 08 02  0040    59793    2400      0    1.68e+00    0    1.18e+00
2022 08 02  0045    59793    2700      0    1.62e+00    0    1.12e+00
2022 08 02  0050    59793    3000      0    1.62e+00    0    1.12e+00
2022 08 02  0055    59793    3300      0    1.66e+00    0    1.15e+00
2022 08 02  0100    59793    3600      0    1.69e+00    0    1.18e+00
2022 08 02  0105    59793    3900      0    1.69e+00    0    1.19e+00
2022 08 02  0110    59793    4200      0    1.65e+00    0    1.16e+00
2022 08 02  0115    59793    4500      0    1.69e+00    0    1.19e+00
2022 08 02  0120    59793    4800      0    1.64e+00    0    1.15e+00
2022 08 02  0125    59793    5100      0    1.65e+00    0    1.17e+00
2022 08 02  0130    59793    5400      0    1.63e+00    0    1.14e+00
2022 08 02  0135    59793    5700      0    1.66e+00    0    1.16e+00
2022 08 02  0140    59793    6000      0    1.71e+00    0    1.20e+00
2022 08 02  0145    59793    6300      0    1.67e+00    0    1.18e+00
2022 08 02  0150    59793    6600      0    1.67e+00    0    1.18e+00
2022 08 02  0155    59793    6900      0    1.65e+00    0    1.15e+00
2022 08 02  0200    59793    7200      0    1.66e+00    0    1.15e+00
2022 08 02  0205    59793    7500      0    1.62e+00    0    1.14e+00
2022 08 02  0210    59793    7800      0    1.65e+00    0    1.15e+00
2022 08 02  0215    59793    8100      0    1.63e+00    0    1.15e+00
2022 08 02  0220    59793    8400      0    1.63e+00    0    1.13e+00
2022 08 02  0225    59793    8700      0    1.69e+00    0    1.18e+00
2022 08 02  0230    59793    9000      0    1.61e+00    0    1.12e+00
2022 08 02  0235    59793    9300      0    1.62e+00    0    1.14e+00
2022 08 02  0240    59793    9600      0    1.62e+00    0    1.14e+00
2022 08 02  0245    59793    9900      0    1.66e+00    0    1.16e+00
2022 08 02  0250    59793   10200      0    1.64e+00    0    1.15e+00
2022 08 02  0255    59793   10500      0    1.66e+00    0    1.16e+00
2022 08 02  0300    59793   10800      0    1.62e+00    0    1.12e+00
2022 08 02  0305    59793   11100      0    1.60e+00    0    1.13e+00
2022 08 02  0310    59793   11400      0    1.65e+00    0    1.15e+00
2022 08 02  0315    59793   11700      0    1.65e+00    0    1.15e+00
2022 08 02  0320    59793   12000      0    1.64e+00    0    1.16e+00
2022 08 02  0325    59793   12300      0    1.65e+00    0    1.16e+00
2022 08 02  0330    59793   12600      0    1.63e+00    0    1.14e+00
2022 08 02  0335    59793   12900      0    1.64e+00    0    1.15e+00
2022 08 02  0340    59793   13200      0    1.58e+00    0    1.11e+00
2022 08 02  0345    59793   13500      0    1.63e+00    0    1.15e+00
2022 08 02  0350    59793   13800      0    1.63e+00    0    1.15e+00
2022 08 02  0355    59793   14100      9   -1.00e+05    9   -1.00e+05
2022 08 02  0400    59793   14400      0    1.69e+00    0    1.18e+00
2022 08 02  0405    59793   14700      0    1.67e+00    0    1.17e+00
2022 08 02  0410    59793   15000      0    1.60e+00    0    1.11e+00
2022 08 02  0415    59793   15300      0    1.62e+00    0    1.14e+00
2022 08 02  0420    59793   15600      0    1.67e+00    0    1.17e+00
2022 08 02  0425    59793   15900      0    1.66e+00    0    1.16e+00
2022 08 02  0430    59793   16200      0    1.66e+00    0    1.16e+00
2022 08 02  0435    59793   16500      0    1.70e+00    0    1.19e+00
2022 08 02  0440    59793   16800      0    1.66e+00    0    1.15e+00
2022 08 02  0445    59793   17100      0    1.61e+00    0    1.13e+00
2022 08 02  0450    59793   17400      0    1.57e+00    0    1.10e+00
2022 08 02  0455    59793   17700      0    1.68e+00    0    1.16e+00
2022 08 02  0500    59793   18000      0    1.63e+00    0    1.14e+00
2022 08 02  0505    59793   18300      0    1.68e+00    0    1.18e+00
2022 08 02  0510    59793   18600      0    1.66e+00    0    1.17e+00
2022 08 02  0515    59793   18900      0    1.65e+00    0    1.15e+00
2022 08 02  0520    59793   19200      0    1.61e+00    0    1.11e+00
2022 08 02  0525    59793   19500      0    1.64e+00    0    1.14e+00
2022 08 02  0530    59793   19800      0    1.64e+00    0    1.15e+00
2022 08 02  0535    59793   20100      0    1.69e+00    0    1.19e+00
2022 08 02  0540    59793   20400      0    1.65e+00    0    1.15e+00
2022 08 02  0545    59793   20700      0    1.70e+00    0    1.17e+00
2022 08 02  0550    59793   21000      0    1.65e+00    0    1.15e+00
2022 08 02  0555    59793   21300      0    1.65e+00    0    1.16e+00
2022 08 02  0600    59793   21600      0    1.63e+00    0    1.14e+00
2022 08 02  0605    59793   21900      0    1.66e+00    0    1.18e+00
2022 08 02  0610    59793   22200      0    1.67e+00    0    1.16e+00
2022 08 02  0615    59793   22500      0    1.65e+00    0    1.15e+00
2022 08 02  0620    59793   22800      0    1.63e+00    0    1.14e+00
2022 08 02  0625    59793   23100      0    1.65e+00    0    1.14e+00
2022 08 02  0630    59793   23400      0    1.62e+00    0    1.14e+00
2022 08 02  0635    59793   23700      0    1.66e+00    0    1.16e+00
2022 08 02  0640    59793   24000      0    1.68e+00    0    1.17e+00
2022 08 02  0645    59793   24300      0    1.65e+00    0    1.16e+00
2022 08 02  0650    59793   24600      0    1.66e+00    0    1.16e+00
2022 08 02  0655    59793   24900      0    1.62e+00    0    1.13e+00
2022 08 02  0700    59793   25200      0    1.63e+00    0    1.13e+00
2022 08 02  0705    59793   25500      0    1.64e+00    0    1.15e+00
2022 08 02  0710    59793   25800      0    1.65e+00    0    1.15e+00
2022 08 02  0715    59793   26100      0    1.65e+00    0    1.16e+00
2022 08 02  0720    59793   26400      0    1.66e+00    0    1.17e+00
2022 08 02  0725    59793   26700      0    1.68e+00    0    1.18e+00
2022 08 02  0730    59793   27000      0    1.65e+00    0    1.16e+00
2022 08 02  0735    59793   27300      0    1.65e+00    0    1.15e+00
2022 08 02  0740    59793   27600      0    1.60e+00    0    1.12e+00
2022 08 02  0745    59793   27900      0    1.65e+00    0    1.16e+00
2022 08 02  0750    59793   28200      0    1.66e+00    0    1.16e+00
2022 08 02  0755    59793   28500      0    1.65e+00    0    1.17e+00
2022 08 02  0800    59793   28800      0    1.67e+00    0    1.17e+00
2022 08 02  0805    59793   29100      0    1.69e+00    0    1.18e+00
2022 08 02  0810    59793   29400      0    1.66e+00    0    1.16e+00
2022 08 02  0815    59793   29700      0    1.63e+00    0    1.14e+00
2022 08 02  0820    59793   30000      0    1.70e+00    0    1.20e+00
2022 08 02  0825    59793   30300      0    1.64e+00    0    1.15e+00
2022 08 02  0830    59793   30600      0    1.69e+00    0    1.19e+00
2022 08 02  0835    59793   30900      0    1.70e+00    0    1.19e+00
2022 08 02  0840    59793   31200      0    1.67e+00    0    1.18e+00
2022 08 02  0845    59793   31500      0    1.62e+00    0    1.12e+00
2022 08 02  0850    59793   31800      0    1.64e+00    0    1.16e+00
2022 08 02  0855    59793   32100      0    1.68e+00    0    1.17e+00
2022 08 02  0900    59793   32400      0    1.66e+00    0    1.15e+00
2022 08 02  0905    59793   32700      0    1.64e+00    0    1.16e+00
2022 08 02  0910    59793   33000      0    1.69e+00    0    1.18e+00
2022 08 02  0915    59793   33300      0    1.67e+00    0    1.17e+00
2022 08 02  0920    59793   33600      0    1.62e+00    0    1.14e+00
2022 08 02  0925    59793   33900      0    1.66e+00    0    1.17e+00
2022 08 02  0930    59793   34200      0    1.63e+00    0    1.14e+00
2022 08 02  0935    59793   34500      0    1.66e+00    0    1.17e+00
2022 08 02  0940    59793   34800      0    1.64e+00    0    1.16e+00
2022 08 02  0945    59793   35100      0    1.67e+00    0    1.16e+00
2022 08 02  0950    59793   35400      0    1.65e+00    0    1.16e+00
2022 08 02  0955    59793   35700      9   -1.00e+05    9   -1.00e+05
2022 08 02  1000    59793   36000      0    1.72e+00    0    1.21e+00
2022 08 02  1005    59793   36300      0    1.68e+00    0    1.17e+00
2022 08 02  1010    59793   36600      0    1.68e+00    0    1.18e+00
2022 08 02  1015    59793   36900      0    1.67e+00    0    1.17e+00
2022 08 02  1020    59793   37200      0    1.68e+00    0    1.17e+00
2022 08 02  1025    59793   37500      0    1.64e+00    0    1.15e+00
2022 08 02  1030    59793   37800      0    1.65e+00    0    1.15e+00
2022 08 02  1035    59793   38100      0    1.66e+00    0    1.16e+00
2022 08 02  1040    59793   38400      0    1.70e+00    0    1.19e+00
2022 08 02  1045    59793   38700      0    1.68e+00    0    1.18e+00
2022 08 02  1050    59793   39000      0    1.67e+00    0    1.16e+00
2022 08 02  1055    59793   39300      0    1.66e+00    0    1.17e+00
2022 08 02  1100    59793   39600      0    1.64e+00    0    1.14e+00
2022 08 02  1105    59793   39900      0    1.64e+00    0    1.15e+00
2022 08 02  1110    59793   40200      0    1.69e+00    0    1.20e+00
2022 08 02  1115    59793   40500      0    1.67e+00    0    1.16e+00
2022 08 02  1120    59793   40800      0    1.67e+00    0    1.17e+00
2022 08 02  1125    59793   41100      0    1.68e+00    0    1.19e+00
2022 08 02  1130    59793   41400      0    1.69e+00    0    1.18e+00
