:Data_list: 20220128_ace_sis_5m.txt
:Created: 2022 Jan 28 1001 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2022 01 28  0000    59607       0      9   -1.00e+05    9   -1.00e+05
2022 01 28  0005    59607     300      9   -1.00e+05    9   -1.00e+05
2022 01 28  0010    59607     600      9   -1.00e+05    9   -1.00e+05
2022 01 28  0015    59607     900      9   -1.00e+05    9   -1.00e+05
2022 01 28  0020    59607    1200      9   -1.00e+05    9   -1.00e+05
2022 01 28  0025    59607    1500      9   -1.00e+05    9   -1.00e+05
2022 01 28  0030    59607    1800      9   -1.00e+05    9   -1.00e+05
2022 01 28  0035    59607    2100      9   -1.00e+05    9   -1.00e+05
2022 01 28  0040    59607    2400      9   -1.00e+05    9   -1.00e+05
2022 01 28  0045    59607    2700      9   -1.00e+05    9   -1.00e+05
2022 01 28  0050    59607    3000      9   -1.00e+05    9   -1.00e+05
2022 01 28  0055    59607    3300      9   -1.00e+05    9   -1.00e+05
2022 01 28  0100    59607    3600      9   -1.00e+05    9   -1.00e+05
2022 01 28  0105    59607    3900      9   -1.00e+05    9   -1.00e+05
2022 01 28  0110    59607    4200      9   -1.00e+05    9   -1.00e+05
2022 01 28  0115    59607    4500      9   -1.00e+05    9   -1.00e+05
2022 01 28  0120    59607    4800      9   -1.00e+05    9   -1.00e+05
2022 01 28  0125    59607    5100      9   -1.00e+05    9   -1.00e+05
2022 01 28  0130    59607    5400      9   -1.00e+05    9   -1.00e+05
2022 01 28  0135    59607    5700      9   -1.00e+05    9   -1.00e+05
2022 01 28  0140    59607    6000      9   -1.00e+05    9   -1.00e+05
2022 01 28  0145    59607    6300      9   -1.00e+05    9   -1.00e+05
2022 01 28  0150    59607    6600      9   -1.00e+05    9   -1.00e+05
2022 01 28  0155    59607    6900      9   -1.00e+05    9   -1.00e+05
2022 01 28  0200    59607    7200      9   -1.00e+05    9   -1.00e+05
2022 01 28  0205    59607    7500      9   -1.00e+05    9   -1.00e+05
2022 01 28  0210    59607    7800      9   -1.00e+05    9   -1.00e+05
2022 01 28  0215    59607    8100      9   -1.00e+05    9   -1.00e+05
2022 01 28  0220    59607    8400      9   -1.00e+05    9   -1.00e+05
2022 01 28  0225    59607    8700      9   -1.00e+05    9   -1.00e+05
2022 01 28  0230    59607    9000      9   -1.00e+05    9   -1.00e+05
2022 01 28  0235    59607    9300      9   -1.00e+05    9   -1.00e+05
2022 01 28  0240    59607    9600      9   -1.00e+05    9   -1.00e+05
2022 01 28  0245    59607    9900      9   -1.00e+05    9   -1.00e+05
2022 01 28  0250    59607   10200      9   -1.00e+05    9   -1.00e+05
2022 01 28  0255    59607   10500      9   -1.00e+05    9   -1.00e+05
2022 01 28  0300    59607   10800      9   -1.00e+05    9   -1.00e+05
2022 01 28  0305    59607   11100      9   -1.00e+05    9   -1.00e+05
2022 01 28  0310    59607   11400      9   -1.00e+05    9   -1.00e+05
2022 01 28  0315    59607   11700      9   -1.00e+05    9   -1.00e+05
2022 01 28  0320    59607   12000      9   -1.00e+05    9   -1.00e+05
2022 01 28  0325    59607   12300      9   -1.00e+05    9   -1.00e+05
2022 01 28  0330    59607   12600      9   -1.00e+05    9   -1.00e+05
2022 01 28  0335    59607   12900      9   -1.00e+05    9   -1.00e+05
2022 01 28  0340    59607   13200      9   -1.00e+05    9   -1.00e+05
2022 01 28  0345    59607   13500      9   -1.00e+05    9   -1.00e+05
2022 01 28  0350    59607   13800      9   -1.00e+05    9   -1.00e+05
2022 01 28  0355    59607   14100      9   -1.00e+05    9   -1.00e+05
2022 01 28  0400    59607   14400      9   -1.00e+05    9   -1.00e+05
2022 01 28  0405    59607   14700      9   -1.00e+05    9   -1.00e+05
2022 01 28  0410    59607   15000      9   -1.00e+05    9   -1.00e+05
2022 01 28  0415    59607   15300      9   -1.00e+05    9   -1.00e+05
2022 01 28  0420    59607   15600      9   -1.00e+05    9   -1.00e+05
2022 01 28  0425    59607   15900      9   -1.00e+05    9   -1.00e+05
2022 01 28  0430    59607   16200      9   -1.00e+05    9   -1.00e+05
2022 01 28  0435    59607   16500      9   -1.00e+05    9   -1.00e+05
2022 01 28  0440    59607   16800      9   -1.00e+05    9   -1.00e+05
2022 01 28  0445    59607   17100      9   -1.00e+05    9   -1.00e+05
2022 01 28  0450    59607   17400      9   -1.00e+05    9   -1.00e+05
2022 01 28  0455    59607   17700      9   -1.00e+05    9   -1.00e+05
2022 01 28  0500    59607   18000      9   -1.00e+05    9   -1.00e+05
