:Data_list: 20171211_ace_swepam_1m.txt
:Created: 2017 Dec 12 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2017 12 11  0000   58098       0    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0001   58098      60    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0002   58098     120    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0003   58098     180    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0004   58098     240    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0005   58098     300    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0006   58098     360    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0007   58098     420    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0008   58098     480    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0009   58098     540    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0010   58098     600    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0011   58098     660    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0012   58098     720    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0013   58098     780    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0014   58098     840    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0015   58098     900    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0016   58098     960    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0017   58098    1020    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0018   58098    1080    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0019   58098    1140    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0020   58098    1200    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0021   58098    1260    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0022   58098    1320    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0023   58098    1380    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0024   58098    1440    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0025   58098    1500    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0026   58098    1560    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0027   58098    1620    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0028   58098    1680    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0029   58098    1740    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0030   58098    1800    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0031   58098    1860    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0032   58098    1920    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0033   58098    1980    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0034   58098    2040    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0035   58098    2100    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0036   58098    2160    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0037   58098    2220    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0038   58098    2280    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0039   58098    2340    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0040   58098    2400    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0041   58098    2460    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0042   58098    2520    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0043   58098    2580    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0044   58098    2640    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0045   58098    2700    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0046   58098    2760    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0047   58098    2820    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0048   58098    2880    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0049   58098    2940    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0050   58098    3000    9    -9999.9    -9999.9    -1.00e+05
2017 12 11  0051   58098    3060    9    -9999.9    -9999.9    -1.00e+05
