:Product: 201802_ace_sis_1h.txt
:Issued: 2018 Feb 23 0910 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# Hourly Averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the     ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day      S    > 10 MeV    S    > 30 MeV
#-------------------------------------------------------------------
2018 02 01  0000   58150       0      9   -1.00e+05    9   -1.00e+05
2018 02 01  0100   58150    3600      9   -1.00e+05    9   -1.00e+05
2018 02 01  0200   58150    7200      9   -1.00e+05    9   -1.00e+05
2018 02 01  0300   58150   10800      9   -1.00e+05    9   -1.00e+05
2018 02 01  0400   58150   14400      9   -1.00e+05    9   -1.00e+05
2018 02 01  0500   58150   18000      9   -1.00e+05    9   -1.00e+05
2018 02 01  0600   58150   21600      9   -1.00e+05    9   -1.00e+05
2018 02 01  0700   58150   25200      0    2.15e+00    0    1.51e+00
2018 02 01  0800   58150   28800      0    2.13e+00    0    1.49e+00
2018 02 01  0900   58150   32400      0    2.15e+00    0    1.51e+00
2018 02 01  1000   58150   36000      0    2.14e+00    0    1.50e+00
2018 02 01  1100   58150   39600      0    2.15e+00    0    1.51e+00
2018 02 01  1200   58150   43200      0    2.13e+00    0    1.49e+00
2018 02 01  1300   58150   46800      0    2.16e+00    0    1.52e+00
2018 02 01  1400   58150   50400      0    2.14e+00    0    1.50e+00
2018 02 01  1500   58150   54000      0    2.15e+00    0    1.51e+00
2018 02 01  1600   58150   57600      0    2.15e+00    0    1.51e+00
2018 02 01  1700   58150   61200      0    2.14e+00    0    1.50e+00
2018 02 01  1800   58150   64800      0    2.14e+00    0    1.50e+00
2018 02 01  1900   58150   68400      0    2.16e+00    0    1.52e+00
2018 02 01  2000   58150   72000      0    2.17e+00    0    1.53e+00
2018 02 01  2100   58150   75600      0    2.17e+00    0    1.53e+00
2018 02 01  2200   58150   79200      9   -1.00e+05    9   -1.00e+05
2018 02 01  2300   58150   82800      9   -1.00e+05    9   -1.00e+05
2018 02 02  0000   58151       0      9   -1.00e+05    9   -1.00e+05
2018 02 02  0100   58151    3600      9   -1.00e+05    9   -1.00e+05
2018 02 02  0200   58151    7200      9   -1.00e+05    9   -1.00e+05
2018 02 02  0300   58151   10800      9   -1.00e+05    9   -1.00e+05
2018 02 02  0400   58151   14400      9   -1.00e+05    9   -1.00e+05
2018 02 02  0500   58151   18000      9   -1.00e+05    9   -1.00e+05
2018 02 02  0600   58151   21600      9   -1.00e+05    9   -1.00e+05
2018 02 02  0700   58151   25200      0    2.17e+00    0    1.52e+00
2018 02 02  0800   58151   28800      0    2.16e+00    0    1.52e+00
2018 02 02  0900   58151   32400      0    2.15e+00    0    1.51e+00
2018 02 02  1000   58151   36000      0    2.15e+00    0    1.51e+00
2018 02 02  1100   58151   39600      0    2.16e+00    0    1.52e+00
2018 02 02  1200   58151   43200      0    2.17e+00    0    1.52e+00
2018 02 02  1300   58151   46800      0    2.18e+00    0    1.53e+00
2018 02 02  1400   58151   50400      0    2.18e+00    0    1.53e+00
2018 02 02  1500   58151   54000      0    2.16e+00    0    1.52e+00
2018 02 02  1600   58151   57600      0    2.16e+00    0    1.52e+00
2018 02 02  1700   58151   61200      0    2.17e+00    0    1.52e+00
2018 02 02  1800   58151   64800      0    2.17e+00    0    1.53e+00
2018 02 02  1900   58151   68400      0    2.19e+00    0    1.54e+00
2018 02 02  2000   58151   72000      0    2.17e+00    0    1.53e+00
2018 02 02  2100   58151   75600      0    2.18e+00    0    1.53e+00
2018 02 02  2200   58151   79200      0    2.18e+00    0    1.54e+00
2018 02 02  2300   58151   82800      0    2.18e+00    0    1.53e+00
2018 02 03  0000   58152       0      9   -1.00e+05    9   -1.00e+05
2018 02 03  0100   58152    3600      9   -1.00e+05    9   -1.00e+05
2018 02 03  0200   58152    7200      9   -1.00e+05    9   -1.00e+05
2018 02 03  0300   58152   10800      9   -1.00e+05    9   -1.00e+05
2018 02 03  0400   58152   14400      9   -1.00e+05    9   -1.00e+05
2018 02 03  0500   58152   18000      9   -1.00e+05    9   -1.00e+05
2018 02 03  0600   58152   21600      9   -1.00e+05    9   -1.00e+05
2018 02 03  0700   58152   25200      0    2.19e+00    0    1.54e+00
2018 02 03  0800   58152   28800      0    2.18e+00    0    1.53e+00
2018 02 03  0900   58152   32400      0    2.17e+00    0    1.53e+00
2018 02 03  1000   58152   36000      0    2.17e+00    0    1.53e+00
2018 02 03  1100   58152   39600      0    2.18e+00    0    1.54e+00
2018 02 03  1200   58152   43200      0    2.16e+00    0    1.52e+00
2018 02 03  1300   58152   46800      0    2.18e+00    0    1.53e+00
2018 02 03  1400   58152   50400      0    2.20e+00    0    1.53e+00
2018 02 03  1500   58152   54000      0    2.20e+00    0    1.55e+00
2018 02 03  1600   58152   57600      0    2.19e+00    0    1.54e+00
2018 02 03  1700   58152   61200      0    2.20e+00    0    1.55e+00
2018 02 03  1800   58152   64800      0    2.19e+00    0    1.54e+00
2018 02 03  1900   58152   68400      0    2.19e+00    0    1.54e+00
2018 02 03  2000   58152   72000      0    2.19e+00    0    1.54e+00
2018 02 03  2100   58152   75600      0    2.20e+00    0    1.54e+00
2018 02 03  2200   58152   79200      9   -1.00e+05    9   -1.00e+05
2018 02 03  2300   58152   82800      9   -1.00e+05    9   -1.00e+05
2018 02 04  0000   58153       0      9   -1.00e+05    9   -1.00e+05
2018 02 04  0100   58153    3600      9   -1.00e+05    9   -1.00e+05
2018 02 04  0200   58153    7200      9   -1.00e+05    9   -1.00e+05
2018 02 04  0300   58153   10800      9   -1.00e+05    9   -1.00e+05
2018 02 04  0400   58153   14400      9   -1.00e+05    9   -1.00e+05
2018 02 04  0500   58153   18000      9   -1.00e+05    9   -1.00e+05
2018 02 04  0600   58153   21600      9   -1.00e+05    9   -1.00e+05
2018 02 04  0700   58153   25200      0    2.20e+00    0    1.55e+00
2018 02 04  0800   58153   28800      0    2.20e+00    0    1.54e+00
2018 02 04  0900   58153   32400      0    2.21e+00    0    1.55e+00
2018 02 04  1000   58153   36000      0    2.21e+00    0    1.55e+00
2018 02 04  1100   58153   39600      0    2.21e+00    0    1.55e+00
2018 02 04  1200   58153   43200      0    2.20e+00    0    1.54e+00
2018 02 04  1300   58153   46800      0    2.21e+00    0    1.55e+00
2018 02 04  1400   58153   50400      0    2.21e+00    0    1.56e+00
2018 02 04  1500   58153   54000      0    2.18e+00    0    1.53e+00
2018 02 04  1600   58153   57600      0    2.21e+00    0    1.55e+00
2018 02 04  1700   58153   61200      0    2.21e+00    0    1.55e+00
2018 02 04  1800   58153   64800      0    2.21e+00    0    1.56e+00
2018 02 04  1900   58153   68400      0    2.18e+00    0    1.53e+00
2018 02 04  2000   58153   72000      0    2.19e+00    0    1.54e+00
2018 02 04  2100   58153   75600      0    2.20e+00    0    1.53e+00
2018 02 04  2200   58153   79200      0    2.18e+00    0    1.53e+00
2018 02 04  2300   58153   82800      0    2.23e+00    0    1.59e+00
2018 02 05  0000   58154       0      9   -1.00e+05    9   -1.00e+05
2018 02 05  0100   58154    3600      9   -1.00e+05    9   -1.00e+05
2018 02 05  0200   58154    7200      9   -1.00e+05    9   -1.00e+05
2018 02 05  0300   58154   10800      9   -1.00e+05    9   -1.00e+05
2018 02 05  0400   58154   14400      9   -1.00e+05    9   -1.00e+05
2018 02 05  0500   58154   18000      9   -1.00e+05    9   -1.00e+05
2018 02 05  0600   58154   21600      9   -1.00e+05    9   -1.00e+05
2018 02 05  0700   58154   25200      0    2.18e+00    0    1.53e+00
2018 02 05  0800   58154   28800      0    2.19e+00    0    1.54e+00
2018 02 05  0900   58154   32400      0    2.18e+00    0    1.53e+00
2018 02 05  1000   58154   36000      0    2.17e+00    0    1.53e+00
2018 02 05  1100   58154   39600      0    2.19e+00    0    1.54e+00
2018 02 05  1200   58154   43200      0    2.19e+00    0    1.54e+00
2018 02 05  1300   58154   46800      0    2.19e+00    0    1.53e+00
2018 02 05  1400   58154   50400      0    2.17e+00    0    1.52e+00
2018 02 05  1500   58154   54000      0    2.18e+00    0    1.53e+00
2018 02 05  1600   58154   57600      0    2.18e+00    0    1.52e+00
2018 02 05  1700   58154   61200      0    2.19e+00    0    1.54e+00
2018 02 05  1800   58154   64800      0    2.19e+00    0    1.54e+00
2018 02 05  1900   58154   68400      0    2.19e+00    0    1.54e+00
2018 02 05  2000   58154   72000      0    2.16e+00    0    1.52e+00
2018 02 05  2100   58154   75600      0    2.21e+00    0    1.56e+00
2018 02 05  2200   58154   79200      0    2.20e+00    0    1.55e+00
2018 02 05  2300   58154   82800      0    2.23e+00    0    1.58e+00
2018 02 06  0000   58155       0      9   -1.00e+05    9   -1.00e+05
2018 02 06  0100   58155    3600      9   -1.00e+05    9   -1.00e+05
2018 02 06  0200   58155    7200      9   -1.00e+05    9   -1.00e+05
2018 02 06  0300   58155   10800      9   -1.00e+05    9   -1.00e+05
2018 02 06  0400   58155   14400      9   -1.00e+05    9   -1.00e+05
2018 02 06  0500   58155   18000      9   -1.00e+05    9   -1.00e+05
