:Product: 202210_ace_sis_1h.txt
:Issued: 2022 Oct 02 0810 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# Hourly Averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the     ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day      S    > 10 MeV    S    > 30 MeV
#-------------------------------------------------------------------
2022 10 01  0000   59853       0      0    1.47e+00    0    1.02e+00
2022 10 01  0100   59853    3600      0    1.47e+00    0    1.03e+00
2022 10 01  0200   59853    7200      0    1.46e+00    0    1.02e+00
2022 10 01  0300   59853   10800      9   -1.00e+05    9   -1.00e+05
2022 10 01  0400   59853   14400      0    1.48e+00    0    1.03e+00
2022 10 01  0500   59853   18000      0    1.46e+00    0    1.02e+00
2022 10 01  0600   59853   21600      0    1.47e+00    0    1.02e+00
2022 10 01  0700   59853   25200      0    1.46e+00    0    1.02e+00
2022 10 01  0800   59853   28800      0    1.45e+00    0    1.01e+00
2022 10 01  0900   59853   32400      9   -1.00e+05    9   -1.00e+05
2022 10 01  1000   59853   36000      0    1.49e+00    0    1.04e+00
2022 10 01  1100   59853   39600      0    1.49e+00    0    1.04e+00
2022 10 01  1200   59853   43200      0    1.49e+00    0    1.04e+00
2022 10 01  1300   59853   46800      0    1.47e+00    0    1.03e+00
2022 10 01  1400   59853   50400      0    1.50e+00    0    1.05e+00
2022 10 01  1500   59853   54000      9   -1.00e+05    9   -1.00e+05
2022 10 01  1600   59853   57600      0    1.49e+00    0    1.04e+00
2022 10 01  1700   59853   61200      0    1.50e+00    0    1.04e+00
2022 10 01  1800   59853   64800      0    1.49e+00    0    1.05e+00
2022 10 01  1900   59853   68400      0    1.47e+00    0    1.03e+00
2022 10 01  2000   59853   72000      0    1.54e+00    0    1.07e+00
2022 10 01  2100   59853   75600      9   -1.00e+05    9   -1.00e+05
2022 10 01  2200   59853   79200      0    1.96e+00    0    1.16e+00
2022 10 01  2300   59853   82800      0    1.82e+00    0    1.15e+00
2022 10 02  0000   59854       0      0    1.74e+00    0    1.13e+00
2022 10 02  0100   59854    3600      0    1.65e+00    0    1.11e+00
2022 10 02  0200   59854    7200      0    1.65e+00    0    1.11e+00
2022 10 02  0300   59854   10800      9   -1.00e+05    9   -1.00e+05
2022 10 02  0400   59854   14400      0    1.79e+00    0    1.13e+00
2022 10 02  0500   59854   18000      0    1.71e+00    0    1.11e+00
2022 10 02  0600   59854   21600      0    1.71e+00    0    1.13e+00
2022 10 02  0700   59854   25200      0    1.68e+00    0    1.12e+00
