:Product: 201504_ace_sis_1h.txt
:Issued: 2015 Apr 07 0810 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# Hourly Averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the     ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day      S    > 10 MeV    S    > 30 MeV
#-------------------------------------------------------------------
2015 04 01  0000   57113       0      0    9.81e-01    0    6.82e-01
2015 04 01  0100   57113    3600      0    9.88e-01    0    6.88e-01
2015 04 01  0200   57113    7200      0    9.91e-01    0    6.88e-01
2015 04 01  0300   57113   10800      0    9.79e-01    0    6.82e-01
2015 04 01  0400   57113   14400      0    9.88e-01    0    6.87e-01
2015 04 01  0500   57113   18000      0    1.01e+00    0    7.06e-01
2015 04 01  0600   57113   21600      0    9.80e-01    0    6.83e-01
2015 04 01  0700   57113   25200      0    9.96e-01    0    6.97e-01
2015 04 01  0800   57113   28800      0    9.93e-01    0    6.96e-01
2015 04 01  0900   57113   32400      0    9.99e-01    0    6.95e-01
2015 04 01  1000   57113   36000      0    1.01e+00    0    6.98e-01
2015 04 01  1100   57113   39600      0    1.00e+00    0    6.98e-01
2015 04 01  1200   57113   43200      0    1.00e+00    0    6.99e-01
2015 04 01  1300   57113   46800      0    1.00e+00    0    6.93e-01
2015 04 01  1400   57113   50400      0    1.01e+00    0    6.98e-01
2015 04 01  1500   57113   54000      0    1.02e+00    0    7.08e-01
2015 04 01  1600   57113   57600      0    1.03e+00    0    7.13e-01
2015 04 01  1700   57113   61200      0    1.06e+00    0    7.25e-01
2015 04 01  1800   57113   64800      0    1.06e+00    0    7.30e-01
2015 04 01  1900   57113   68400      0    1.06e+00    0    7.28e-01
2015 04 01  2000   57113   72000      0    1.06e+00    0    7.22e-01
2015 04 01  2100   57113   75600      0    1.05e+00    0    7.24e-01
2015 04 01  2200   57113   79200      0    1.06e+00    0    7.23e-01
2015 04 01  2300   57113   82800      0    1.06e+00    0    7.31e-01
2015 04 02  0000   57114       0      0    1.03e+00    0    7.09e-01
2015 04 02  0100   57114    3600      0    1.06e+00    0    7.29e-01
2015 04 02  0200   57114    7200      0    1.05e+00    0    7.22e-01
2015 04 02  0300   57114   10800      0    1.05e+00    0    7.21e-01
2015 04 02  0400   57114   14400      0    1.04e+00    0    7.16e-01
2015 04 02  0500   57114   18000      0    1.06e+00    0    7.38e-01
2015 04 02  0600   57114   21600      0    1.06e+00    0    7.28e-01
2015 04 02  0700   57114   25200      0    1.05e+00    0    7.26e-01
2015 04 02  0800   57114   28800      0    1.06e+00    0    7.27e-01
2015 04 02  0900   57114   32400      0    1.06e+00    0    7.33e-01
2015 04 02  1000   57114   36000      0    1.06e+00    0    7.29e-01
2015 04 02  1100   57114   39600      0    1.05e+00    0    7.24e-01
2015 04 02  1200   57114   43200      0    1.05e+00    0    7.24e-01
2015 04 02  1300   57114   46800      0    1.06e+00    0    7.30e-01
2015 04 02  1400   57114   50400      0    1.06e+00    0    7.35e-01
2015 04 02  1500   57114   54000      0    1.04e+00    0    7.20e-01
2015 04 02  1600   57114   57600      0    1.05e+00    0    7.24e-01
