:Product: 202001_ace_swepam_1h.txt
:Issued: 2020 Jan 05 0910 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   Hourly Averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2020 01 01  0000   58849       0    0        4.4      302.5     2.88e+04
2020 01 01  0100   58849    3600    1        3.2      311.5     4.79e+04
2020 01 01  0200   58849    7200    1        3.7      325.9     5.27e+04
2020 01 01  0300   58849   10800    0        3.1      331.1     4.70e+04
2020 01 01  0400   58849   14400    0        4.0      318.0     4.56e+04
2020 01 01  0500   58849   18000    0        3.8      319.3     4.27e+04
2020 01 01  0600   58849   21600    0        3.4      323.0     5.28e+04
2020 01 01  0700   58849   25200    0        3.1      319.3     4.92e+04
2020 01 01  0800   58849   28800    0        3.1      331.3     5.22e+04
2020 01 01  0900   58849   32400    0        4.5      326.1     4.81e+04
2020 01 01  1000   58849   36000    0        4.2      330.0     5.06e+04
2020 01 01  1100   58849   39600    0        4.9      335.7     4.79e+04
2020 01 01  1200   58849   43200    0        4.8      332.5     5.07e+04
2020 01 01  1300   58849   46800    0        3.6      341.7     4.72e+04
2020 01 01  1400   58849   50400    0        4.0      342.0     4.40e+04
2020 01 01  1500   58849   54000    0        3.3      335.4     4.68e+04
2020 01 01  1600   58849   57600    0        3.6      331.1     5.12e+04
2020 01 01  1700   58849   61200    0        3.7      326.2     3.29e+04
2020 01 01  1800   58849   64800    0        4.5      324.7     2.61e+04
2020 01 01  1900   58849   68400    0        4.3      319.4     1.94e+04
2020 01 01  2000   58849   72000    0        4.7      315.3     2.10e+04
2020 01 01  2100   58849   75600    0        5.6      307.6     2.57e+04
2020 01 01  2200   58849   79200    0        5.3      306.0     2.42e+04
2020 01 01  2300   58849   82800    0        5.1      305.0     2.60e+04
2020 01 02  0000   58850       0    0        5.4      303.9     2.38e+04
2020 01 02  0100   58850    3600    0        5.0      308.6     2.26e+04
2020 01 02  0200   58850    7200    0        4.8      303.5     1.97e+04
2020 01 02  0300   58850   10800    0        2.7      315.7     3.43e+04
2020 01 02  0400   58850   14400    0        3.0      313.4     3.13e+04
2020 01 02  0500   58850   18000    0        2.8      312.8     3.31e+04
2020 01 02  0600   58850   21600    0        2.6      313.6     2.72e+04
2020 01 02  0700   58850   25200    1        2.9      320.5     3.55e+04
2020 01 02  0800   58850   28800    0        2.0      326.5     3.95e+04
2020 01 02  0900   58850   32400    0        1.2      345.2     4.70e+04
2020 01 02  1000   58850   36000    0        1.6      346.0     4.53e+04
2020 01 02  1100   58850   39600    0        2.2      343.1     3.98e+04
2020 01 02  1200   58850   43200    0        1.7      336.4     3.83e+04
2020 01 02  1300   58850   46800    0        1.7      335.5     4.27e+04
2020 01 02  1400   58850   50400    0        2.7      346.4     4.10e+04
2020 01 02  1500   58850   54000    0        3.6      346.8     3.78e+04
2020 01 02  1600   58850   57600    0        4.3      350.8     3.95e+04
2020 01 02  1700   58850   61200    0        3.7      355.3     4.41e+04
2020 01 02  1800   58850   64800    0        4.1      363.0     4.26e+04
2020 01 02  1900   58850   68400    0        2.6      374.9     4.90e+04
2020 01 02  2000   58850   72000    0        1.5      375.3     4.92e+04
2020 01 02  2100   58850   75600    0        2.8      364.6     5.25e+04
2020 01 02  2200   58850   79200    0        3.5      347.4     3.12e+04
2020 01 02  2300   58850   82800    0        4.8      337.5     3.13e+04
2020 01 03  0000   58851       0    0        3.8      331.1     2.98e+04
2020 01 03  0100   58851    3600    0        3.7      327.0     3.01e+04
2020 01 03  0200   58851    7200    0        3.7      325.8     2.75e+04
2020 01 03  0300   58851   10800    1        4.3      330.5     3.46e+04
2020 01 03  0400   58851   14400    0        5.5      340.0     4.81e+04
2020 01 03  0500   58851   18000    0        5.5      341.1     4.43e+04
2020 01 03  0600   58851   21600    0        6.3      350.7     5.44e+04
2020 01 03  0700   58851   25200    0        1.2      351.0     5.79e+04
2020 01 03  0800   58851   28800    0        2.5      365.1     7.10e+04
2020 01 03  0900   58851   32400    0        3.3      374.0     9.47e+04
2020 01 03  1000   58851   36000    1        4.0      374.4     1.05e+05
2020 01 03  1100   58851   39600    1        3.5      375.0     1.09e+05
2020 01 03  1200   58851   43200    0        4.0      364.9     7.96e+04
2020 01 03  1300   58851   46800    0        4.1      356.3     6.34e+04
2020 01 03  1400   58851   50400    0        5.1      357.3     6.64e+04
2020 01 03  1500   58851   54000    0        5.6      358.7     6.11e+04
2020 01 03  1600   58851   57600    1        6.8      356.8     6.54e+04
2020 01 03  1700   58851   61200    0        4.9      356.0     5.79e+04
2020 01 03  1800   58851   64800    1        2.8      361.9     8.60e+04
2020 01 03  1900   58851   68400    0        4.0      360.6     9.09e+04
2020 01 03  2000   58851   72000    1        3.3      382.3     1.21e+05
2020 01 03  2100   58851   75600    1        2.2      397.0     1.31e+05
2020 01 03  2200   58851   79200    0        2.8      396.5     1.28e+05
2020 01 03  2300   58851   82800    0        2.9      405.1     1.15e+05
2020 01 04  0000   58852       0    0        2.5      406.0     1.19e+05
