:Product: 202012_ace_swepam_1h.txt
:Issued: 2020 Dec 04 0910 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   Hourly Averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2020 12 01  0000   59184       0    1        2.0      430.7     1.71e+05
2020 12 01  0100   59184    3600    0        1.4      409.7     1.24e+05
2020 12 01  0200   59184    7200    0        0.7      422.6     1.05e+05
2020 12 01  0300   59184   10800    1        0.6      412.6     1.08e+05
2020 12 01  0400   59184   14400    0        0.6      404.4     1.15e+05
2020 12 01  0500   59184   18000    0        0.6      390.3     1.06e+05
2020 12 01  0600   59184   21600    0        0.6      408.2     1.23e+05
2020 12 01  0700   59184   25200    0        0.6      407.5     1.56e+05
2020 12 01  0800   59184   28800    0        0.7      387.2     1.51e+05
2020 12 01  0900   59184   32400    0        0.7      398.2     1.32e+05
2020 12 01  1000   59184   36000    1        0.6      405.3     1.75e+05
2020 12 01  1100   59184   39600    1        0.6      394.1     1.70e+05
2020 12 01  1200   59184   43200    0        0.7      409.9     1.29e+05
2020 12 01  1300   59184   46800    0        0.6      417.0     1.48e+05
2020 12 01  1400   59184   50400    0        0.7      416.7     1.47e+05
2020 12 01  1500   59184   54000    0        0.7      411.2     1.69e+05
2020 12 01  1600   59184   57600    1        0.6      436.6     1.47e+05
2020 12 01  1700   59184   61200    1        0.8      449.4     1.48e+05
2020 12 01  1800   59184   64800    0        0.8      441.1     1.50e+05
2020 12 01  1900   59184   68400    1        0.7      428.4     1.46e+05
2020 12 01  2000   59184   72000    9    -9999.9    -9999.9    -1.00e+05
2020 12 01  2100   59184   75600    9    -9999.9    -9999.9    -1.00e+05
2020 12 01  2200   59184   79200    9    -9999.9    -9999.9    -1.00e+05
2020 12 01  2300   59184   82800    9    -9999.9    -9999.9    -1.00e+05
2020 12 02  0000   59185       0    0       66.9      375.9     2.30e+05
2020 12 02  0100   59185    3600    0        8.0      401.4     2.26e+05
2020 12 02  0200   59185    7200    1        0.8      396.0     1.55e+05
2020 12 02  0300   59185   10800    0        0.4      425.4     1.12e+05
2020 12 02  0400   59185   14400    0        0.5      423.6     1.11e+05
2020 12 02  0500   59185   18000    0        0.7      415.5     1.41e+05
2020 12 02  0600   59185   21600    1        1.1      402.0     1.29e+05
2020 12 02  0700   59185   25200    1        0.9      403.2     1.54e+05
2020 12 02  0800   59185   28800    0        1.6      405.0     9.33e+04
2020 12 02  0900   59185   32400    0        1.7      411.6     5.11e+04
2020 12 02  1000   59185   36000    0        2.3      423.4     6.20e+04
2020 12 02  1100   59185   39600    0        2.3      418.3     5.97e+04
2020 12 02  1200   59185   43200    0        2.7      418.4     7.22e+04
2020 12 02  1300   59185   46800    0        4.6      422.6     4.92e+04
2020 12 02  1400   59185   50400    0        4.7      411.6     4.99e+04
2020 12 02  1500   59185   54000    0        5.0      418.6     5.76e+04
2020 12 02  1600   59185   57600    0        5.2      423.6     6.88e+04
2020 12 02  1700   59185   61200    0        3.9      417.2     8.90e+04
2020 12 02  1800   59185   64800    3    -9999.9    -9999.9    -1.00e+05
2020 12 02  1900   59185   68400    0        3.3      411.0     1.23e+05
2020 12 02  2000   59185   72000    9    -9999.9    -9999.9    -1.00e+05
2020 12 02  2100   59185   75600    9    -9999.9    -9999.9    -1.00e+05
2020 12 02  2200   59185   79200    0        2.5      407.2     8.73e+04
2020 12 02  2300   59185   82800    0        2.2      402.7     8.56e+04
2020 12 03  0000   59186       0    1        2.3      394.8     9.01e+04
2020 12 03  0100   59186    3600    0        2.2      387.0     7.88e+04
2020 12 03  0200   59186    7200    0        2.3      388.4     6.31e+04
2020 12 03  0300   59186   10800    0        2.4      385.2     4.64e+04
2020 12 03  0400   59186   14400    0        2.3      374.9     4.09e+04
2020 12 03  0500   59186   18000    0        2.2      369.4     3.64e+04
2020 12 03  0600   59186   21600    0        4.3      361.9     3.41e+04
2020 12 03  0700   59186   25200    0        2.3      363.6     2.86e+04
2020 12 03  0800   59186   28800    9    -9999.9    -9999.9    -1.00e+05
2020 12 03  0900   59186   32400    0        3.2      363.5     2.07e+04
2020 12 03  1000   59186   36000    0        2.5      361.2     2.31e+04
2020 12 03  1100   59186   39600    0        3.1      360.2     2.46e+04
