:Product: 201705_ace_epam_1h.txt
:Issued: 2017 May 08 0810 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Differential Flux particles/cm2-s-ster-MeV
# Units: Anisotropy Index 0.0 - 2.0
# Status(S): 0 = nominal, 4,6,7,8 = bad data, unable to process, 9 = no data
# Missing data values: -1.00e+05, index = -1.00
# Source: ACE Satellite - Electron, Proton, and Alpha Monitor
#
#                      Hourly Averaged Real-time Differential Electron and Proton Flux 
# 
#                Modified Seconds ---------------------------- Differential Flux ---------------------------
# UT Date   Time  Julian  of the  ----- Electron -----   ------------------- Protons keV -------------------  Anis.
# YR MO DA  HHMM    Day    Day    S    38-53   175-315   S    47-68   115-195   310-580   795-1193 1060-1900  Index
#------------------------------------------------------------------------------------------------------------------
2017 05 01  0000   57874       0 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2017 05 01  0100   57874    3600 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2017 05 01  0200   57874    7200 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2017 05 01  0300   57874   10800  0  8.55e+02  2.66e+01  0  1.94e+03  1.56e+01  2.32e+00  5.67e-01  1.75e-01  -1.00
2017 05 01  0400   57874   14400  0  6.62e+02  2.68e+01  0  1.80e+03  1.89e+01  2.39e+00  7.07e-01  2.09e-01  -1.00
2017 05 01  0500   57874   18000  0  6.90e+02  2.70e+01  0  1.78e+03  1.94e+01  2.73e+00  7.50e-01  1.93e-01  -1.00
2017 05 01  0600   57874   21600  0  6.98e+02  2.74e+01  0  1.80e+03  1.92e+01  2.59e+00  7.41e-01  1.92e-01  -1.00
2017 05 01  0700   57874   25200  0  7.41e+02  2.79e+01  0  1.79e+03  2.00e+01  2.65e+00  6.81e-01  1.71e-01  -1.00
2017 05 01  0800   57874   28800  0  6.90e+02  2.67e+01  0  1.81e+03  1.89e+01  2.64e+00  6.75e-01  1.75e-01  -1.00
2017 05 01  0900   57874   32400  0  6.90e+02  2.66e+01  0  1.78e+03  1.85e+01  2.60e+00  7.05e-01  1.83e-01  -1.00
2017 05 01  1000   57874   36000  0  9.03e+02  2.67e+01  0  1.81e+03  1.93e+01  2.62e+00  6.61e-01  1.70e-01  -1.00
2017 05 01  1100   57874   39600  0  6.71e+02  2.69e+01  0  1.78e+03  1.93e+01  2.48e+00  6.71e-01  2.04e-01  -1.00
2017 05 01  1200   57874   43200  0  7.20e+02  2.67e+01  0  1.79e+03  2.00e+01  2.53e+00  5.97e-01  1.68e-01  -1.00
2017 05 01  1300   57874   46800  0  7.53e+02  2.81e+01  0  1.79e+03  1.87e+01  2.63e+00  7.78e-01  1.83e-01  -1.00
2017 05 01  1400   57874   50400  0  7.41e+02  2.67e+01  0  1.79e+03  1.92e+01  2.83e+00  6.91e-01  1.98e-01  -1.00
2017 05 01  1500   57874   54000  0  7.34e+02  2.67e+01  0  1.74e+03  1.92e+01  2.46e+00  7.03e-01  1.82e-01  -1.00
2017 05 01  1600   57874   57600  0  7.01e+02  2.42e+01  0  1.69e+03  1.94e+01  2.66e+00  7.73e-01  1.81e-01  -1.00
2017 05 01  1700   57874   61200  0  6.63e+02  2.33e+01  0  1.72e+03  2.04e+01  2.79e+00  6.82e-01  1.75e-01  -1.00
2017 05 01  1800   57874   64800  0  7.06e+02  2.54e+01  0  1.74e+03  1.88e+01  2.65e+00  6.43e-01  1.82e-01  -1.00
2017 05 01  1900   57874   68400  0  6.99e+02  2.46e+01  0  1.75e+03  1.96e+01  2.40e+00  6.83e-01  1.98e-01  -1.00
2017 05 01  2000   57874   72000  0  7.42e+02  2.70e+01  0  1.77e+03  1.90e+01  2.54e+00  6.20e-01  1.72e-01  -1.00
2017 05 01  2100   57874   75600  0  7.52e+02  2.79e+01  0  1.78e+03  1.92e+01  2.51e+00  6.15e-01  1.65e-01  -1.00
