:Product: 202212_ace_sis_1h.txt
:Issued: 2022 Dec 02 0910 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# Hourly Averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the     ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day      S    > 10 MeV    S    > 30 MeV
#-------------------------------------------------------------------
2022 12 01  0000   59914       0      0    1.70e+00    0    1.20e+00
2022 12 01  0100   59914    3600      0    1.68e+00    0    1.19e+00
2022 12 01  0200   59914    7200      0    1.70e+00    0    1.20e+00
2022 12 01  0300   59914   10800      9   -1.00e+05    9   -1.00e+05
2022 12 01  0400   59914   14400      0    1.70e+00    0    1.20e+00
2022 12 01  0500   59914   18000      0    1.69e+00    0    1.19e+00
2022 12 01  0600   59914   21600      0    1.69e+00    0    1.19e+00
2022 12 01  0700   59914   25200      0    1.69e+00    0    1.19e+00
2022 12 01  0800   59914   28800      0    1.67e+00    0    1.18e+00
2022 12 01  0900   59914   32400      9   -1.00e+05    9   -1.00e+05
2022 12 01  1000   59914   36000      0    1.68e+00    0    1.19e+00
2022 12 01  1100   59914   39600      0    1.69e+00    0    1.19e+00
2022 12 01  1200   59914   43200      0    1.68e+00    0    1.18e+00
2022 12 01  1300   59914   46800      0    1.69e+00    0    1.19e+00
2022 12 01  1400   59914   50400      0    1.70e+00    0    1.20e+00
2022 12 01  1500   59914   54000      9   -1.00e+05    9   -1.00e+05
2022 12 01  1600   59914   57600      0    1.68e+00    0    1.19e+00
2022 12 01  1700   59914   61200      0    1.68e+00    0    1.18e+00
2022 12 01  1800   59914   64800      0    1.69e+00    0    1.20e+00
2022 12 01  1900   59914   68400      0    1.69e+00    0    1.20e+00
2022 12 01  2000   59914   72000      0    1.69e+00    0    1.19e+00
2022 12 01  2100   59914   75600      9   -1.00e+05    9   -1.00e+05
2022 12 01  2200   59914   79200      0    1.68e+00    0    1.19e+00
2022 12 01  2300   59914   82800      0    1.69e+00    0    1.19e+00
2022 12 02  0000   59915       0      0    1.68e+00    0    1.18e+00
2022 12 02  0100   59915    3600      0    1.68e+00    0    1.19e+00
2022 12 02  0200   59915    7200      0    1.69e+00    0    1.19e+00
2022 12 02  0300   59915   10800      9   -1.00e+05    9   -1.00e+05
2022 12 02  0400   59915   14400      0    1.69e+00    0    1.20e+00
2022 12 02  0500   59915   18000      0    1.69e+00    0    1.20e+00
2022 12 02  0600   59915   21600      9   -1.00e+05    9   -1.00e+05
2022 12 02  0700   59915   25200      0    1.69e+00    0    1.20e+00
2022 12 02  0800   59915   28800      0    1.69e+00    0    1.19e+00
