:Product: 202105_ace_mag_1h.txt
:Issued: 2021 May 02 0810 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              Hourly Averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2021 05 01  0000   59335       0    0    -5.4     4.5     4.2     8.3    30.8   140.2
2021 05 01  0100   59335    3600    0    -5.0     5.5     3.9     8.4    28.0   132.8
2021 05 01  0200   59335    7200    0    -5.0     4.7     4.8     8.4    34.8   136.5
2021 05 01  0300   59335   10800    0    -4.7     4.4     4.9     8.1    37.3   136.5
2021 05 01  0400   59335   14400    0    -4.2     4.4     5.0     7.9    39.6   134.1
2021 05 01  0500   59335   18000    0    -4.3     5.5     1.9     7.3    15.4   127.5
2021 05 01  0600   59335   21600    0    -2.8     5.2    -3.2     6.7   -28.7   118.6
2021 05 01  0700   59335   25200    0    -3.0     4.6    -3.8     6.7   -34.9   123.2
2021 05 01  0800   59335   28800    0    -4.2     4.0    -0.5     5.8    -4.6   136.2
2021 05 01  0900   59335   32400    0    -4.1     3.5     2.6     6.0    25.7   139.8
2021 05 01  1000   59335   36000    0    -3.8     3.1     4.1     6.4    40.2   140.8
2021 05 01  1100   59335   39600    0    -2.8     2.5     4.7     6.0    50.8   138.0
2021 05 01  1200   59335   43200    0    -2.5     1.5     3.7     4.7    52.0   148.4
2021 05 01  1300   59335   46800    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 05 01  1400   59335   50400    0     2.5    -5.5     1.3     6.1    12.6   294.4
2021 05 01  1500   59335   54000    0     1.3    -5.9     4.9     7.8    39.1   282.7
2021 05 01  1600   59335   57600    0     3.2    -6.2     1.0     7.1     8.5   297.3
2021 05 01  1700   59335   61200    0     1.5    -7.0     0.4     7.2     2.9   282.1
2021 05 01  1800   59335   64800    0     1.5    -7.0     2.1     7.5    16.1   282.2
2021 05 01  1900   59335   68400    0     0.7    -7.4     2.2     7.7    16.8   275.1
2021 05 01  2000   59335   72000    0     0.8    -7.1     1.7     7.3    13.3   276.5
2021 05 01  2100   59335   75600    0     1.3    -7.0     1.8     7.4    14.5   280.6
2021 05 01  2200   59335   79200    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 05 01  2300   59335   82800    0    -2.0    -2.5    -5.5     6.3   -59.9   230.9
2021 05 02  0000   59336       0    0    -2.3    -3.5    -5.7     7.1   -53.5   237.2
2021 05 02  0100   59336    3600    0    -3.3    -4.9    -5.9     8.3   -45.0   235.6
2021 05 02  0200   59336    7200    0    -4.9    -6.2    -4.8     9.3   -31.3   231.4
2021 05 02  0300   59336   10800    0    -6.6    -6.5    -3.3     9.9   -19.7   224.6
2021 05 02  0400   59336   14400    0    -7.6    -5.9    -1.5     9.8    -9.1   217.8
2021 05 02  0500   59336   18000    0    -4.6    -5.5     0.0     7.2     0.1   230.4
2021 05 02  0600   59336   21600    0    -3.4    -6.3     1.0     7.2     7.9   241.6
2021 05 02  0700   59336   25200    0    -5.2    -5.7     0.4     7.7     3.2   227.4
