:Product: 202304_ace_swepam_1h.txt
:Issued: 2023 Apr 06 0810 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   Hourly Averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2023 04 01  0000   60035       0    1        4.5      467.5     1.67e+05
2023 04 01  0100   60035    3600    0        3.1      471.0     2.39e+05
2023 04 01  0200   60035    7200    1        2.3      481.0     2.67e+05
2023 04 01  0300   60035   10800    9    -9999.9    -9999.9    -1.00e+05
2023 04 01  0400   60035   14400    0        1.6      518.8     2.40e+05
2023 04 01  0500   60035   18000    0        1.2      532.1     2.43e+05
2023 04 01  0600   60035   21600    0        1.3      523.5     2.53e+05
2023 04 01  0700   60035   25200    0        1.2      522.1     2.71e+05
2023 04 01  0800   60035   28800    0        2.1      526.0     1.83e+05
2023 04 01  0900   60035   32400    9    -9999.9    -9999.9    -1.00e+05
2023 04 01  1000   60035   36000    0        1.8      537.1     2.07e+05
2023 04 01  1100   60035   39600    0        2.3      548.4     1.85e+05
2023 04 01  1200   60035   43200    0        2.4      552.3     1.75e+05
2023 04 01  1300   60035   46800    0        2.7      540.6     1.68e+05
2023 04 01  1400   60035   50400    0        2.0      531.7     1.83e+05
2023 04 01  1500   60035   54000    9    -9999.9    -9999.9    -1.00e+05
2023 04 01  1600   60035   57600    0        1.8      542.0     2.05e+05
2023 04 01  1700   60035   61200    0        1.9      521.3     2.35e+05
2023 04 01  1800   60035   64800    1        1.7      530.2     1.83e+05
2023 04 01  1900   60035   68400    0        1.8      529.9     1.70e+05
2023 04 01  2000   60035   72000    0        0.7      574.1     2.85e+05
2023 04 01  2100   60035   75600    9    -9999.9    -9999.9    -1.00e+05
2023 04 01  2200   60035   79200    1        1.3      569.9     1.78e+05
2023 04 01  2300   60035   82800    0        0.5      561.3     2.52e+05
2023 04 02  0000   60036       0    0        0.5      558.5     3.06e+05
2023 04 02  0100   60036    3600    1        2.3      567.4     2.43e+05
2023 04 02  0200   60036    7200    0        1.4      549.6     2.11e+05
2023 04 02  0300   60036   10800    9    -9999.9    -9999.9    -1.00e+05
2023 04 02  0400   60036   14400    0        2.3      561.4     3.10e+05
2023 04 02  0500   60036   18000    0        1.9      562.6     1.81e+05
2023 04 02  0600   60036   21600    0        1.9      560.1     2.19e+05
2023 04 02  0700   60036   25200    0        1.7      558.3     1.80e+05
2023 04 02  0800   60036   28800    0        1.4      551.1     2.31e+05
2023 04 02  0900   60036   32400    9    -9999.9    -9999.9    -1.00e+05
2023 04 02  1000   60036   36000    0        0.9      564.7     2.38e+05
2023 04 02  1100   60036   39600    1        0.9      566.2     2.09e+05
2023 04 02  1200   60036   43200    1        0.9      553.2     2.18e+05
2023 04 02  1300   60036   46800    0        1.1      550.6     1.75e+05
2023 04 02  1400   60036   50400    1        1.0      555.8     1.71e+05
2023 04 02  1500   60036   54000    9    -9999.9    -9999.9    -1.00e+05
2023 04 02  1600   60036   57600    0        1.1      538.7     1.68e+05
2023 04 02  1700   60036   61200    0        1.3      556.7     1.67e+05
2023 04 02  1800   60036   64800    1        1.3      525.5     1.70e+05
2023 04 02  1900   60036   68400    0        1.3      534.9     1.74e+05
2023 04 02  2000   60036   72000    0        1.2      524.6     1.74e+05
2023 04 02  2100   60036   75600    9    -9999.9    -9999.9    -1.00e+05
2023 04 02  2200   60036   79200    1        1.6      485.8     1.39e+05
2023 04 02  2300   60036   82800    0        3.3      479.2     1.67e+05
2023 04 03  0000   60037       0    6        5.5      458.8     1.46e+05
2023 04 03  0100   60037    3600    0        7.9      470.9     1.05e+05
2023 04 03  0200   60037    7200    3    -9999.9    -9999.9    -1.00e+05
2023 04 03  0300   60037   10800    9    -9999.9    -9999.9    -1.00e+05
2023 04 03  0400   60037   14400    0        2.5      479.5     1.55e+05
2023 04 03  0500   60037   18000    1        1.7      469.0     8.69e+04
2023 04 03  0600   60037   21600    0        2.1      465.5     7.62e+04
2023 04 03  0700   60037   25200    0        2.2      467.1     7.22e+04
2023 04 03  0800   60037   28800    0        2.3      475.6     8.00e+04
2023 04 03  0900   60037   32400    9    -9999.9    -9999.9    -1.00e+05
