:Product: 202206_ace_epam_1h.txt
:Issued: 2022 Jun 18 0810 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Differential Flux particles/cm2-s-ster-MeV
# Units: Anisotropy Index 0.0 - 2.0
# Status(S): 0 = nominal, 4,6,7,8 = bad data, unable to process, 9 = no data
# Missing data values: -1.00e+05, index = -1.00
# Source: ACE Satellite - Electron, Proton, and Alpha Monitor
#
#                      Hourly Averaged Real-time Differential Electron and Proton Flux 
# 
#                Modified Seconds ---------------------------- Differential Flux ---------------------------
# UT Date   Time  Julian  of the  ----- Electron -----   ------------------- Protons keV -------------------  Anis.
# YR MO DA  HHMM    Day    Day    S    38-53   175-315   S    47-68   115-195   310-580   795-1193 1060-1900  Index
#------------------------------------------------------------------------------------------------------------------
2022 06 01  0000   59731       0  0  8.80e+02  2.48e+01  0  1.98e+03  2.19e+01  2.54e+00  6.58e-01  1.62e-01  -1.00
2022 06 01  0100   59731    3600  0  8.84e+02  2.50e+01  0  1.99e+03  2.22e+01  2.59e+00  6.13e-01  1.57e-01  -1.00
2022 06 01  0200   59731    7200  0  9.02e+02  2.57e+01  0  1.95e+03  2.08e+01  2.44e+00  5.91e-01  1.58e-01  -1.00
2022 06 01  0300   59731   10800 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2022 06 01  0400   59731   14400  0  9.08e+02  2.53e+01  0  2.02e+03  2.28e+01  2.50e+00  6.62e-01  1.41e-01  -1.00
2022 06 01  0500   59731   18000  0  8.89e+02  2.53e+01  0  1.97e+03  2.28e+01  2.54e+00  6.25e-01  1.61e-01  -1.00
2022 06 01  0600   59731   21600  0  9.43e+02  2.51e+01  0  1.97e+03  2.20e+01  2.58e+00  6.66e-01  1.54e-01  -1.00
2022 06 01  0700   59731   25200  0  9.01e+02  2.42e+01  0  1.99e+03  2.36e+01  2.68e+00  6.87e-01  1.44e-01  -1.00
2022 06 01  0800   59731   28800  0  8.98e+02  2.70e+01  0  1.99e+03  2.20e+01  2.78e+00  6.65e-01  1.74e-01  -1.00
2022 06 01  0900   59731   32400 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2022 06 01  1000   59731   36000  0  9.03e+02  2.54e+01  0  2.01e+03  2.44e+01  2.72e+00  6.47e-01  1.75e-01  -1.00
2022 06 01  1100   59731   39600  0  9.09e+02  2.56e+01  0  1.99e+03  2.40e+01  2.84e+00  7.21e-01  1.57e-01  -1.00
2022 06 01  1200   59731   43200  0  9.31e+02  2.52e+01  0  1.99e+03  2.32e+01  2.70e+00  6.95e-01  1.71e-01  -1.00
2022 06 01  1300   59731   46800  0  9.00e+02  2.53e+01  0  1.98e+03  2.40e+01  2.72e+00  6.74e-01  1.71e-01  -1.00
2022 06 01  1400   59731   50400  0  9.27e+02  2.47e+01  0  2.01e+03  2.27e+01  2.67e+00  7.42e-01  1.51e-01  -1.00
2022 06 01  1500   59731   54000 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2022 06 01  1600   59731   57600  0  8.95e+02  2.37e+01  0  2.00e+03  2.40e+01  2.55e+00  7.38e-01  1.69e-01  -1.00
2022 06 01  1700   59731   61200  0  8.59e+02  2.46e+01  0  7.13e+03  6.08e+01  2.98e+00  6.44e-01  1.85e-01  -1.00
2022 06 01  1800   59731   64800  0  8.96e+02  2.51e+01  0  6.42e+03  5.54e+01  3.14e+00  6.62e-01  1.52e-01  -1.00
2022 06 01  1900   59731   68400  0  8.52e+02  2.46e+01  0  1.98e+03  2.50e+01  2.70e+00  6.70e-01  1.73e-01  -1.00
2022 06 01  2000   59731   72000  0  8.57e+02  2.64e+01  0  2.00e+03  2.27e+01  2.77e+00  6.23e-01  1.73e-01  -1.00
2022 06 01  2100   59731   75600  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2022 06 01  2200   59731   79200  0  8.57e+02  2.54e+01  0  1.97e+03  2.25e+01  2.76e+00  6.91e-01  1.56e-01  -1.00
2022 06 01  2300   59731   82800  0  9.11e+02  2.41e+01  0  1.97e+03  2.30e+01  2.57e+00  6.99e-01  1.66e-01  -1.00
2022 06 02  0000   59732       0  0  8.98e+02  2.59e+01  0  2.00e+03  2.50e+01  2.89e+00  6.89e-01  1.54e-01  -1.00
2022 06 02  0100   59732    3600  0  8.67e+02  2.55e+01  0  1.97e+03  2.44e+01  2.72e+00  6.65e-01  1.73e-01  -1.00
2022 06 02  0200   59732    7200  0  8.65e+02  2.41e+01  0  1.97e+03  2.44e+01  2.75e+00  6.28e-01  1.80e-01  -1.00
2022 06 02  0300   59732   10800 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2022 06 02  0400   59732   14400  0  8.41e+02  2.58e+01  0  1.98e+03  2.28e+01  2.79e+00  6.85e-01  1.92e-01  -1.00
2022 06 02  0500   59732   18000  0  8.37e+02  2.41e+01  0  1.96e+03  2.36e+01  2.90e+00  6.95e-01  1.90e-01  -1.00
2022 06 02  0600   59732   21600  0  8.36e+02  2.43e+01  0  1.97e+03  2.36e+01  2.88e+00  7.12e-01  1.67e-01  -1.00
2022 06 02  0700   59732   25200  0  8.58e+02  2.53e+01  0  1.98e+03  2.34e+01  2.67e+00  6.90e-01  2.13e-01  -1.00
2022 06 02  0800   59732   28800  0  8.44e+02  2.61e+01  0  1.97e+03  2.28e+01  2.74e+00  6.70e-01  1.82e-01  -1.00
2022 06 02  0900   59732   32400 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2022 06 02  1000   59732   36000  0  8.96e+02  2.55e+01  0  2.00e+03  2.26e+01  2.50e+00  6.44e-01  1.94e-01  -1.00
2022 06 02  1100   59732   39600 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2022 06 02  1200   59732   43200  0  9.47e+02  2.49e+01  0  1.97e+03  2.30e+01  2.82e+00  7.46e-01  1.62e-01  -1.00
2022 06 02  1300   59732   46800  0  8.89e+02  2.52e+01  0  1.97e+03  2.41e+01  2.72e+00  6.56e-01  1.64e-01  -1.00
2022 06 02  1400   59732   50400  0  9.33e+02  2.58e+01  0  1.97e+03  2.39e+01  2.67e+00  6.74e-01  1.63e-01  -1.00
2022 06 02  1500   59732   54000  0  7.54e+02  8.50e+00  0  2.37e+03  2.92e+01  2.88e+00  9.15e-01  4.64e-01  -1.00
2022 06 02  1600   59732   57600  0  9.00e+02  2.50e+01  0  1.97e+03  2.31e+01  2.82e+00  6.95e-01  1.66e-01  -1.00
2022 06 02  1700   59732   61200  0  9.42e+02  2.55e+01  0  1.99e+03  2.36e+01  2.81e+00  6.47e-01  1.80e-01  -1.00
2022 06 02  1800   59732   64800  0  8.77e+02  2.61e+01  0  1.98e+03  2.19e+01  2.85e+00  6.29e-01  1.65e-01  -1.00
2022 06 02  1900   59732   68400  0  9.19e+02  2.53e+01  0  1.99e+03  2.27e+01  2.84e+00  6.08e-01  1.50e-01  -1.00
2022 06 02  2000   59732   72000  0  1.21e+02  3.65e+00  0  1.27e+03  4.37e+00  1.56e-01  3.00e-02  1.55e-02  -1.00
2022 06 02  2100   59732   75600 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2022 06 02  2200   59732   79200  0  8.77e+02  2.46e+01  0  1.96e+03  2.26e+01  2.83e+00  7.38e-01  1.75e-01  -1.00
2022 06 02  2300   59732   82800  0  8.93e+02  2.53e+01  0  1.95e+03  2.13e+01  2.78e+00  7.11e-01  1.91e-01  -1.00
2022 06 03  0000   59733       0  0  8.65e+02  2.59e+01  0  1.94e+03  2.08e+01  2.68e+00  6.70e-01  1.81e-01  -1.00
2022 06 03  0100   59733    3600  0  8.88e+02  2.54e+01  0  1.96e+03  2.11e+01  2.73e+00  6.77e-01  1.66e-01  -1.00
2022 06 03  0200   59733    7200  0  8.85e+02  2.52e+01  0  1.97e+03  2.30e+01  2.93e+00  7.49e-01  1.87e-01  -1.00
2022 06 03  0300   59733   10800 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2022 06 03  0400   59733   14400  0  8.77e+02  2.42e+01  0  1.96e+03  2.31e+01  2.90e+00  7.12e-01  1.82e-01  -1.00
2022 06 03  0500   59733   18000  0  8.79e+02  2.43e+01  0  1.94e+03  2.31e+01  2.77e+00  1.09e+00  4.83e+01  -1.00
2022 06 03  0600   59733   21600  0  9.08e+02  2.61e+01  0  1.94e+03  2.21e+01  2.64e+00  6.94e-01  1.83e-01  -1.00
2022 06 03  0700   59733   25200  0  9.28e+02  2.47e+01  0  1.99e+03  2.17e+01  2.72e+00  7.42e-01  1.91e-01  -1.00
2022 06 03  0800   59733   28800  0  9.50e+02  2.56e+01  0  1.97e+03  2.24e+01  2.79e+00  7.63e-01  1.86e-01  -1.00
2022 06 03  0900   59733   32400 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2022 06 03  1000   59733   36000  0  9.49e+02  2.58e+01  0  1.97e+03  2.91e+01  3.53e+00  8.54e-01  2.13e-01  -1.00
2022 06 03  1100   59733   39600 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2022 06 03  1200   59733   43200  0  9.72e+02  2.55e+01  0  1.98e+03  2.35e+01  3.00e+00  7.22e-01  1.46e-01  -1.00
2022 06 03  1300   59733   46800  0  9.04e+02  2.60e+01  0  2.00e+03  3.00e+01  3.81e+00  9.58e-01  2.21e-01  -1.00
2022 06 03  1400   59733   50400  0  8.98e+02  2.60e+01  0  1.99e+03  2.92e+01  3.56e+00  7.62e-01  2.13e-01  -1.00
2022 06 03  1500   59733   54000  0  1.31e+03  1.70e+01  0  1.93e+03  2.92e+01  2.88e+00  0.00e+00  4.64e-01  -1.00
2022 06 03  1600   59733   57600  0  9.28e+02  2.54e+01  0  1.97e+03  2.39e+01  2.87e+00  7.09e-01  1.79e-01  -1.00
2022 06 03  1700   59733   61200  0  9.04e+02  2.51e+01  0  1.98e+03  2.58e+01  3.34e+00  7.97e-01  1.82e-01  -1.00
2022 06 03  1800   59733   64800  0  8.96e+02  2.66e+01  0  1.95e+03  2.66e+01  3.10e+00  8.37e-01  2.29e-01  -1.00
2022 06 03  1900   59733   68400  0  8.97e+02  2.60e+01  0  1.98e+03  2.66e+01  3.19e+00  8.59e-01  1.80e-01  -1.00
2022 06 03  2000   59733   72000  0  9.30e+02  2.61e+01  0  1.98e+03  2.53e+01  3.35e+00  8.28e-01  1.91e-01  -1.00
2022 06 03  2100   59733   75600 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2022 06 03  2200   59733   79200  0  8.98e+02  2.66e+01  0  1.99e+03  2.64e+01  3.03e+00  7.52e-01  1.93e-01  -1.00
2022 06 03  2300   59733   82800  0  9.02e+02  2.53e+01  0  1.96e+03  2.32e+01  2.93e+00  7.19e-01  1.60e-01  -1.00
2022 06 04  0000   59734       0  0  9.11e+02  2.42e+01  0  1.97e+03  2.43e+01  3.11e+00  6.78e-01  1.89e-01  -1.00
2022 06 04  0100   59734    3600  0  8.91e+02  2.47e+01  0  1.98e+03  2.64e+01  3.11e+00  7.16e-01  1.90e-01  -1.00
2022 06 04  0200   59734    7200  0  9.28e+02  2.63e+01  0  1.96e+03  2.58e+01  3.10e+00  7.58e-01  1.64e-01  -1.00
2022 06 04  0300   59734   10800 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2022 06 04  0400   59734   14400  0  8.96e+02  2.59e+01  0  2.05e+03  3.49e+01  3.90e+00  7.85e-01  1.91e-01  -1.00
2022 06 04  0500   59734   18000  0  2.02e+05  5.69e+04  0  2.01e+03  4.33e+04  3.94e+00  8.52e-01  1.76e-01  -1.00
2022 06 04  0600   59734   21600  0  9.16e+02  2.54e+01  0  2.00e+03  3.23e+01  3.41e+00  8.03e-01  1.65e-01  -1.00
2022 06 04  0700   59734   25200  0  8.35e+02  2.53e+01  0  2.18e+03  4.01e+01  3.94e+00  7.55e-01  1.73e-01  -1.00
2022 06 04  0800   59734   28800  0  9.07e+02  2.48e+01  0  2.12e+03  3.88e+01  3.73e+00  7.55e-01  1.70e-01  -1.00
2022 06 04  0900   59734   32400 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2022 06 04  1000   59734   36000  0  8.88e+02  2.52e+01  0  2.18e+03  6.68e+01  5.14e+00  8.30e-01  2.14e-01  -1.00
2022 06 04  1100   59734   39600  0  8.63e+02  2.56e+01  0  2.16e+03  6.61e+01  4.96e+00  7.80e-01  2.21e-01  -1.00
