:Product: 202303_ace_epam_1h.txt
:Issued: 2023 Mar 22 0810 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Differential Flux particles/cm2-s-ster-MeV
# Units: Anisotropy Index 0.0 - 2.0
# Status(S): 0 = nominal, 4,6,7,8 = bad data, unable to process, 9 = no data
# Missing data values: -1.00e+05, index = -1.00
# Source: ACE Satellite - Electron, Proton, and Alpha Monitor
#
#                      Hourly Averaged Real-time Differential Electron and Proton Flux 
# 
#                Modified Seconds ---------------------------- Differential Flux ---------------------------
# UT Date   Time  Julian  of the  ----- Electron -----   ------------------- Protons keV -------------------  Anis.
# YR MO DA  HHMM    Day    Day    S    38-53   175-315   S    47-68   115-195   310-580   795-1193 1060-1900  Index
#------------------------------------------------------------------------------------------------------------------
2023 03 01  0000   60004       0  0  2.36e+03  3.46e+01  0  6.42e+03  8.51e+02  1.83e+02  7.74e+01  1.65e+01  -1.00
2023 03 01  0100   60004    3600  0  2.23e+03  3.47e+01  0  7.01e+03  9.95e+02  2.01e+02  7.71e+01  1.74e+01  -1.00
2023 03 01  0200   60004    7200  0  2.28e+03  3.35e+01  0  6.95e+03  9.64e+02  1.93e+02  7.59e+01  1.62e+01  -1.00
2023 03 01  0300   60004   10800 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2023 03 01  0400   60004   14400  0  2.29e+03  3.30e+01  0  7.56e+03  1.13e+03  2.12e+02  7.10e+01  1.67e+01  -1.00
2023 03 01  0500   60004   18000  0  2.27e+03  3.32e+01  0  7.43e+03  1.08e+03  2.00e+02  6.44e+01  1.57e+01  -1.00
2023 03 01  0600   60004   21600  0  2.22e+03  3.17e+01  0  6.49e+03  7.60e+02  1.44e+02  4.59e+01  1.16e+01  -1.00
2023 03 01  0700   60004   25200  0  2.08e+03  3.20e+01  0  5.44e+03  4.20e+02  8.27e+01  2.98e+01  7.21e+00  -1.00
2023 03 01  0800   60004   28800  0  1.95e+03  3.11e+01  0  4.55e+03  1.20e+02  2.53e+01  1.13e+01  2.79e+00  -1.00
2023 03 01  0900   60004   32400 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2023 03 01  1000   60004   36000  0  2.04e+03  3.21e+01  0  4.56e+03  1.06e+02  1.99e+01  6.84e+00  2.00e+00  -1.00
2023 03 01  1100   60004   39600  0  2.03e+03  3.10e+01  0  4.50e+03  9.93e+01  1.99e+01  6.67e+00  2.16e+00  -1.00
2023 03 01  1200   60004   43200  0  1.97e+03  3.17e+01  0  4.39e+03  8.21e+01  1.65e+01  6.27e+00  1.84e+00  -1.00
2023 03 01  1300   60004   46800  0  2.00e+03  3.13e+01  0  4.45e+03  8.39e+01  1.67e+01  5.93e+00  1.83e+00  -1.00
2023 03 01  1400   60004   50400  0  2.22e+03  3.12e+01  0  4.38e+03  8.17e+01  1.73e+01  5.89e+00  1.69e+00  -1.00
2023 03 01  1500   60004   54000  0  2.08e+03  2.76e+01  0  4.41e+03  6.77e+01  2.36e+01  6.10e+00  2.10e+00  -1.00
2023 03 01  1600   60004   57600  0  2.10e+03  2.90e+01  0  4.36e+03  6.92e+01  1.52e+01  5.46e+00  1.72e+00  -1.00
2023 03 01  1700   60004   61200  0  2.07e+03  2.98e+01  0  4.32e+03  5.30e+01  1.14e+01  5.21e+00  1.28e+00  -1.00
2023 03 01  1800   60004   64800  0  2.12e+03  2.88e+01  0  4.33e+03  5.37e+01  1.15e+01  5.25e+00  1.27e+00  -1.00
2023 03 01  1900   60004   68400  0  2.11e+03  2.77e+01  0  4.31e+03  6.57e+01  1.34e+01  5.40e+00  1.26e+00  -1.00
2023 03 01  2000   60004   72000  0  1.87e+03  2.80e+01  0  4.38e+03  7.77e+01  1.52e+01  5.56e+00  1.60e+00  -1.00
2023 03 01  2100   60004   75600  0  1.73e+03  3.61e+01  0  4.77e+03  1.08e+02  1.91e+01  6.40e+00  1.16e+00  -1.00
2023 03 01  2200   60004   79200  0  1.59e+03  2.73e+01  0  4.49e+03  1.08e+02  2.04e+01  6.77e+00  1.81e+00  -1.00
2023 03 01  2300   60004   82800  0  1.74e+03  2.67e+01  0  4.43e+03  8.89e+01  1.67e+01  6.28e+00  1.62e+00  -1.00
2023 03 02  0000   60005       0  0  1.75e+03  2.74e+01  0  4.36e+03  6.96e+01  1.34e+01  5.23e+00  1.36e+00  -1.00
2023 03 02  0100   60005    3600  0  1.85e+03  2.71e+01  0  4.36e+03  6.18e+01  1.21e+01  4.63e+00  1.22e+00  -1.00
2023 03 02  0200   60005    7200  0  1.76e+03  2.64e+01  0  4.33e+03  6.13e+01  1.18e+01  4.48e+00  1.19e+00  -1.00
2023 03 02  0300   60005   10800 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2023 03 02  0400   60005   14400  0  1.76e+03  2.68e+01  0  4.36e+03  5.81e+01  1.15e+01  4.13e+00  1.16e+00  -1.00
2023 03 02  0500   60005   18000  0  1.68e+03  2.67e+01  0  4.82e+03  6.04e+01  1.15e+01  4.08e+00  1.07e+00  -1.00
2023 03 02  0600   60005   21600  0  1.70e+03  2.56e+01  0  4.33e+03  5.69e+01  1.11e+01  4.01e+00  1.10e+00  -1.00
2023 03 02  0700   60005   25200  0  1.65e+03  2.64e+01  0  4.35e+03  5.88e+01  1.10e+01  4.01e+00  1.08e+00  -1.00
2023 03 02  0800   60005   28800  0  1.67e+03  2.69e+01  0  4.32e+03  5.86e+01  1.12e+01  3.95e+00  1.12e+00  -1.00
2023 03 02  0900   60005   32400 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2023 03 02  1000   60005   36000 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2023 03 02  1100   60005   39600 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2023 03 02  1200   60005   43200  0  1.67e+03  2.57e+01  0  4.38e+03  8.99e+01  1.45e+01  4.58e+00  1.25e+00  -1.00
2023 03 02  1300   60005   46800  0  1.58e+03  2.52e+01  0  4.46e+03  9.56e+01  1.58e+01  5.34e+00  1.26e+00  -1.00
2023 03 02  1400   60005   50400  0  1.62e+03  2.45e+01  0  4.45e+03  9.68e+01  1.65e+01  5.16e+00  1.28e+00  -1.00
2023 03 02  1500   60005   54000  0  1.53e+03  1.49e+01  0  4.23e+03  7.67e+01  1.51e+01  6.17e+00  6.95e-01  -1.00
2023 03 02  1600   60005   57600  0  1.59e+03  2.44e+01  0  4.39e+03  7.66e+01  1.30e+01  4.83e+00  1.09e+00  -1.00
2023 03 02  1700   60005   61200  0  1.60e+03  2.44e+01  0  4.36e+03  6.76e+01  1.20e+01  4.95e+00  1.12e+00  -1.00
2023 03 02  1800   60005   64800  0  1.99e+03  2.42e+01  0  4.40e+03  7.22e+01  1.30e+01  5.55e+00  1.07e+00  -1.00
2023 03 02  1900   60005   68400  0  1.63e+03  2.43e+01  0  4.40e+03  8.18e+01  1.40e+01  5.36e+00  1.14e+00  -1.00
2023 03 02  2000   60005   72000  0  1.60e+03  2.46e+01  0  4.72e+03  1.86e+02  2.93e+01  6.16e+00  2.01e+00  -1.00
2023 03 02  2100   60005   75600 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2023 03 02  2200   60005   79200  0  1.98e+03  3.40e+01  0  4.36e+03  1.17e+02  2.12e+01  3.99e+00  1.46e+00  -1.00
2023 03 02  2300   60005   82800  0  8.18e+04  2.18e+04  0  5.02e+04  6.26e+04  1.92e+04  3.70e+00  1.10e+00  -1.00
2023 03 03  0000   60006       0  0  2.22e+03  3.14e+01  0  4.90e+03  7.82e+01  1.29e+01  3.58e+00  1.03e+00  -1.00
2023 03 03  0100   60006    3600  0  2.13e+03  2.94e+01  0  4.53e+03  7.13e+01  1.14e+01  3.72e+00  9.40e-01  -1.00
2023 03 03  0200   60006    7200  0  2.01e+03  2.92e+01  0  5.19e+03  7.74e+01  1.12e+01  3.62e+00  8.96e-01  -1.00
2023 03 03  0300   60006   10800 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2023 03 03  0400   60006   14400  0  2.09e+03  2.78e+01  0  6.16e+03  1.05e+02  1.10e+01  3.11e+00  8.39e-01  -1.00
2023 03 03  0500   60006   18000  0  2.27e+03  2.93e+01  0  7.58e+03  1.23e+02  1.10e+01  3.04e+00  8.36e-01  -1.00
2023 03 03  0600   60006   21600  0  2.21e+03  2.64e+01  0  6.54e+03  1.07e+02  1.11e+01  2.94e+00  8.24e-01  -1.00
2023 03 03  0700   60006   25200  0  2.12e+03  2.72e+01  0  4.75e+03  6.43e+01  1.00e+01  2.97e+00  7.63e-01  -1.00
2023 03 03  0800   60006   28800  0  2.03e+03  2.64e+01  0  4.34e+03  5.59e+01  9.87e+00  2.95e+00  7.88e-01  -1.00
2023 03 03  0900   60006   32400 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2023 03 03  1000   60006   36000 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2023 03 03  1100   60006   39600 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2023 03 03  1200   60006   43200  0  1.55e+03  2.54e+01  0  5.06e+03  5.85e+01  7.85e+00  2.05e+00  4.33e-01  -1.00
2023 03 03  1300   60006   46800  0  1.59e+03  2.33e+01  0  4.71e+03  5.01e+01  7.04e+00  2.15e+00  5.32e-01  -1.00
2023 03 03  1400   60006   50400  0  1.57e+03  2.42e+01  0  4.29e+03  4.13e+01  6.81e+00  2.08e+00  5.42e-01  -1.00
2023 03 03  1500   60006   54000  0  1.11e+03  4.25e+01  0  3.46e+03  3.25e+01  7.69e+00  0.00e+00  3.09e-01  -1.00
2023 03 03  1600   60006   57600  0  1.55e+03  2.38e+01  0  4.29e+03  3.72e+01  5.76e+00  1.65e+00  4.63e-01  -1.00
2023 03 03  1700   60006   61200  0  1.53e+03  2.55e+01  0  9.12e+03  1.40e+02  6.62e+00  1.66e+00  4.94e-01  -1.00
2023 03 03  1800   60006   64800  0  3.05e+03  5.02e+01  0  5.06e+03  4.86e+01  5.46e+00  1.44e+00  4.55e-01  -1.00
2023 03 03  1900   60006   68400  0  1.07e+04  1.14e+02  0  4.32e+03  3.45e+01  5.10e+00  1.38e+00  3.81e-01  -1.00
2023 03 03  2000   60006   72000  0  1.50e+04  1.93e+02  0  5.21e+03  6.49e+01  5.05e+00  1.45e+00  3.94e-01  -1.00
2023 03 03  2100   60006   75600 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2023 03 03  2200   60006   79200  0  1.55e+04  1.35e+02  0  4.44e+03  2.97e+01  3.98e+00  1.03e+00  2.40e-01  -1.00
2023 03 03  2300   60006   82800  0  1.28e+04  1.21e+02  0  4.33e+03  2.76e+01  3.45e+00  1.02e+00  2.61e-01  -1.00
2023 03 04  0000   60007       0  0  1.31e+04  1.09e+02  0  6.02e+03  8.98e+01  4.42e+00  1.03e+00  2.85e-01  -1.00
2023 03 04  0100   60007    3600  0  1.22e+04  9.25e+01  0  4.48e+03  2.83e+01  3.28e+00  1.03e+00  2.75e-01  -1.00
2023 03 04  0200   60007    7200  0  1.14e+04  8.23e+01  0  4.33e+03  2.09e+01  2.79e+00  9.26e-01  2.47e-01  -1.00
2023 03 04  0300   60007   10800 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2023 03 04  0400   60007   14400  0  9.98e+03  6.76e+01  0  4.30e+03  2.09e+01  2.86e+00  8.06e-01  2.40e-01  -1.00
2023 03 04  0500   60007   18000  0  9.49e+03  6.60e+01  0  5.34e+03  2.00e+01  2.62e+00  9.07e-01  2.44e-01  -1.00
2023 03 04  0600   60007   21600  0  9.19e+03  6.04e+01  0  4.46e+03  1.92e+01  2.70e+00  8.42e-01  2.41e-01  -1.00
2023 03 04  0700   60007   25200  0  8.32e+03  5.44e+01  0  4.52e+03  1.90e+01  2.49e+00  9.08e-01  2.91e-01  -1.00
2023 03 04  0800   60007   28800  0  8.44e+03  5.28e+01  0  5.10e+03  2.01e+01  4.52e+00  1.08e+00  2.82e-01  -1.00
2023 03 04  0900   60007   32400 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2023 03 04  1000   60007   36000 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2023 03 04  1100   60007   39600  0  6.83e+03  4.54e+01  0  4.21e+03  1.81e+01  3.41e+00  1.66e+00  4.71e-01  -1.00
2023 03 04  1200   60007   43200  0  6.49e+03  4.24e+01  0  4.21e+03  1.80e+01  3.28e+00  1.65e+00  4.91e-01  -1.00
2023 03 04  1300   60007   46800  0  6.04e+03  3.88e+01  0  4.27e+03  1.92e+01  3.35e+00  1.71e+00  4.42e-01  -1.00
2023 03 04  1400   60007   50400  0  5.73e+03  3.83e+01  0  4.30e+03  1.89e+01  3.43e+00  1.46e+00  4.62e-01  -1.00
2023 03 04  1500   60007   54000 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2023 03 04  1600   60007   57600  0  5.09e+03  3.99e+01  0  4.42e+03  2.65e+01  3.36e+00  1.28e+00  3.80e-01  -1.00
2023 03 04  1700   60007   61200  0  5.15e+03  4.74e+01  0  4.57e+03  2.66e+01  3.47e+00  1.55e+00  4.55e-01  -1.00
2023 03 04  1800   60007   64800  0  5.21e+03  4.73e+01  0  9.73e+03  3.21e+02  7.13e+00  1.65e+00  4.62e-01  -1.00
2023 03 04  1900   60007   68400  0  4.92e+03  4.33e+01  0  5.74e+03  8.88e+01  4.18e+00  1.63e+00  4.01e-01  -1.00
2023 03 04  2000   60007   72000  0  4.52e+03  3.78e+01  0  6.14e+03  8.46e+01  3.97e+00  1.27e+00  3.80e-01  -1.00
2023 03 04  2100   60007   75600 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2023 03 04  2200   60007   79200  0  1.55e+04  2.83e+01  9 -1.00e+05 -1.00e+05 -1.00e+05  2.82e+01  2.68e+00  -1.00
2023 03 04  2300   60007   82800  0  1.61e+02  1.04e+00  0  2.37e+03  3.84e+01  1.26e+00  3.31e+04  1.35e+01  -1.00
2023 03 05  0000   60008       0  0  3.71e-14  1.03e-11  0  1.99e+04  2.38e+01 -1.00e+05  1.52e-36 -1.00e+05  -1.00
2023 03 05  0100   60008    3600  0  9.27e-14  9.78e-12  0  1.92e+04  3.00e+01 -1.00e+05 -1.00e+05  7.99e-40  -1.00
2023 03 05  0200   60008    7200  0  1.39e-13  7.92e-12  0  1.50e+03  3.89e+01  2.55e-36  1.01e-36 -1.00e+05  -1.00
2023 03 05  0300   60008   10800 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2023 03 05  0400   60008   14400  0  3.06e+03  2.81e+01  0  4.25e+03  1.51e+01  3.05e+00  7.66e-01  2.22e-01  -1.00
2023 03 05  0500   60008   18000  0  3.60e+03  2.85e+01  0  5.86e+03  1.52e+01  3.13e+00  1.03e+00  2.06e-01  -1.00
2023 03 05  0600   60008   21600  0  2.90e+03  2.68e+01  0  4.15e+03  1.53e+01  2.20e+00  7.06e-01  2.19e-01  -1.00
2023 03 05  0700   60008   25200  0  2.82e+03  2.55e+01  0  4.17e+03  1.57e+01  2.29e+00  7.83e-01  2.10e-01  -1.00
2023 03 05  0800   60008   28800  0  2.71e+03  2.64e+01  0  4.11e+03  1.61e+01  2.35e+00  7.56e-01  2.03e-01  -1.00
2023 03 05  0900   60008   32400 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2023 03 05  1000   60008   36000  0  2.57e+03  2.60e+01  0  4.13e+03  1.45e+01  1.93e+00  6.06e-01  1.64e-01  -1.00
2023 03 05  1100   60008   39600  0  2.44e+03  2.53e+01  0  4.13e+03  1.40e+01  1.96e+00  5.93e-01  1.56e-01  -1.00
2023 03 05  1200   60008   43200  0  2.46e+03  2.45e+01  0  4.09e+03  1.42e+01  1.97e+00  5.52e-01  1.48e-01  -1.00
2023 03 05  1300   60008   46800  0  2.33e+03  2.31e+01  0  4.12e+03  1.44e+01  2.03e+00  6.23e-01  1.46e-01  -1.00
2023 03 05  1400   60008   50400  0  2.23e+03  2.40e+01  0  4.12e+03  1.45e+01  1.90e+00  5.27e-01  1.38e-01  -1.00
2023 03 05  1500   60008   54000  0  1.75e+03  1.70e+01  0  4.38e+03  2.92e+01  2.88e+00  1.83e+00  4.64e-01  -1.00
2023 03 05  1600   60008   57600  0  2.09e+03  2.34e+01  0  4.13e+03  1.31e+01  1.85e+00  5.07e-01  1.38e-01  -1.00
2023 03 05  1700   60008   61200  0  2.04e+03  2.36e+01  0  4.14e+03  1.56e+01  1.80e+00  5.06e-01  1.25e-01  -1.00
2023 03 05  1800   60008   64800  0  2.01e+03  2.34e+01  0  4.13e+03  1.39e+01  1.81e+00  5.25e-01  1.20e-01  -1.00
2023 03 05  1900   60008   68400  0  1.91e+03  2.29e+01  0  4.13e+03  1.42e+01  1.78e+00  4.10e-01  1.43e-01  -1.00
2023 03 05  2000   60008   72000  0  1.90e+03  2.18e+01  0  4.15e+03  1.53e+01  1.75e+00  4.46e-01  1.36e-01  -1.00
2023 03 05  2100   60008   75600 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2023 03 05  2200   60008   79200  0  1.67e+03  3.63e+01  0  4.08e+03  1.30e+01  1.78e+00  4.69e+03  8.80e+02  -1.00
2023 03 05  2300   60008   82800  0  1.81e+03  2.28e+01  0  4.21e+03  1.50e+01  1.77e+00  4.63e-01  1.27e-01  -1.00
2023 03 06  0000   60009       0  0  1.78e+03  2.24e+01  0  4.13e+03  1.42e+01  1.61e+00  5.15e-01  1.23e-01  -1.00
2023 03 06  0100   60009    3600  0  1.75e+03  2.23e+01  0  4.13e+03  1.35e+01  1.67e+00  4.66e-01  9.84e-02  -1.00
2023 03 06  0200   60009    7200  0  1.71e+03  2.26e+01  0  4.40e+03  1.44e+01  1.68e+00  4.65e-01  1.04e-01  -1.00
2023 03 06  0300   60009   10800 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
