:Product: 202109_ace_swepam_1h.txt
:Issued: 2021 Sep 03 0810 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   Hourly Averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2021 09 01  0000   59458       0    0        5.6      353.8     2.93e+04
2021 09 01  0100   59458    3600    0        5.5      352.2     2.51e+04
2021 09 01  0200   59458    7200    1       10.8      345.8     4.32e+04
2021 09 01  0300   59458   10800    0       25.9      348.3     6.16e+04
2021 09 01  0400   59458   14400    3    -9999.9    -9999.9    -1.00e+05
2021 09 01  0500   59458   18000    0       31.6      377.2     8.05e+04
2021 09 01  0600   59458   21600    0       20.9      341.5     2.76e+04
2021 09 01  0700   59458   25200    0        7.2      341.4     2.14e+04
2021 09 01  0800   59458   28800    0        6.4      341.7     2.88e+04
2021 09 01  0900   59458   32400    0        5.9      352.1     3.44e+04
2021 09 01  1000   59458   36000    0        4.9      349.2     4.37e+04
2021 09 01  1100   59458   39600    0        4.6      357.0     3.64e+04
2021 09 01  1200   59458   43200    0        4.2      365.1     3.50e+04
2021 09 01  1300   59458   46800    3    -9999.9    -9999.9    -1.00e+05
2021 09 01  1400   59458   50400    0        3.3      351.7     4.93e+04
2021 09 01  1500   59458   54000    0        3.4      362.4     5.12e+04
2021 09 01  1600   59458   57600    9    -9999.9    -9999.9    -1.00e+05
2021 09 01  1700   59458   61200    9    -9999.9    -9999.9    -1.00e+05
2021 09 01  1800   59458   64800    9    -9999.9    -9999.9    -1.00e+05
2021 09 01  1900   59458   68400    9    -9999.9    -9999.9    -1.00e+05
2021 09 01  2000   59458   72000    9    -9999.9    -9999.9    -1.00e+05
2021 09 01  2100   59458   75600    9    -9999.9    -9999.9    -1.00e+05
2021 09 01  2200   59458   79200    9    -9999.9    -9999.9    -1.00e+05
2021 09 01  2300   59458   82800    9    -9999.9    -9999.9    -1.00e+05
2021 09 02  0000   59459       0    9    -9999.9    -9999.9    -1.00e+05
2021 09 02  0100   59459    3600    9    -9999.9    -9999.9    -1.00e+05
2021 09 02  0200   59459    7200    9    -9999.9    -9999.9    -1.00e+05
2021 09 02  0300   59459   10800    9    -9999.9    -9999.9    -1.00e+05
2021 09 02  0400   59459   14400    9    -9999.9    -9999.9    -1.00e+05
2021 09 02  0500   59459   18000    9    -9999.9    -9999.9    -1.00e+05
2021 09 02  0600   59459   21600    9    -9999.9    -9999.9    -1.00e+05
2021 09 02  0700   59459   25200    9    -9999.9    -9999.9    -1.00e+05
2021 09 02  0800   59459   28800    9    -9999.9    -9999.9    -1.00e+05
2021 09 02  0900   59459   32400    9    -9999.9    -9999.9    -1.00e+05
2021 09 02  1000   59459   36000    9    -9999.9    -9999.9    -1.00e+05
2021 09 02  1100   59459   39600    9    -9999.9    -9999.9    -1.00e+05
2021 09 02  1200   59459   43200    9    -9999.9    -9999.9    -1.00e+05
2021 09 02  1300   59459   46800    9    -9999.9    -9999.9    -1.00e+05
2021 09 02  1400   59459   50400    9    -9999.9    -9999.9    -1.00e+05
2021 09 02  1500   59459   54000    9    -9999.9    -9999.9    -1.00e+05
2021 09 02  1600   59459   57600    9    -9999.9    -9999.9    -1.00e+05
2021 09 02  1700   59459   61200    9    -9999.9    -9999.9    -1.00e+05
2021 09 02  1800   59459   64800    0        3.6      365.3     4.62e+04
2021 09 02  1900   59459   68400    0        4.0      366.4     3.44e+04
2021 09 02  2000   59459   72000    0        3.9      372.6     4.19e+04
2021 09 02  2100   59459   75600    3    -9999.9    -9999.9    -1.00e+05
2021 09 02  2200   59459   79200    0        4.4      366.2     3.04e+04
2021 09 02  2300   59459   82800    0        4.5      363.4     3.50e+04
2021 09 03  0000   59460       0    0        4.4      368.0     4.10e+04
2021 09 03  0100   59460    3600    0        5.0      381.8     4.79e+04
2021 09 03  0200   59460    7200    0        6.4      386.0     8.12e+04
2021 09 03  0300   59460   10800    0        6.2      388.4     7.06e+04
2021 09 03  0400   59460   14400    0        6.4      385.4     7.97e+04
2021 09 03  0500   59460   18000    0        5.5      384.9     7.88e+04
2021 09 03  0600   59460   21600    0        6.3      393.2     1.08e+05
2021 09 03  0700   59460   25200    0        6.4      395.1     9.88e+04
