:Product: 201404_ace_loc_1h.txt
:Issued: 2014 Apr 24 0010 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: X, Y, and Z position in GSE coordinates in earth radii(Re)
#        Accuracy 0.1 earth radii (about 600 km)
# Range: X 0.0 to 300.0
# Range: Y and Z -200.0 to 200.0
# Missing data values: -999.9
#
#    Predicted ACE Satellite Locations in GSE Coordinates
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the    --- GSE Coordinates ---
# YR MO DA  HHMM    Day      Day       X        Y        Z
#-----------------------------------------------------------
2014 04 01  0000   56748       0     221.7     -9.2    -21.3
2014 04 01  0100   56748    3600     221.7     -9.2    -21.3
2014 04 01  0200   56748    7200     221.7     -9.1    -21.3
2014 04 01  0300   56748   10800     221.7     -9.0    -21.3
2014 04 01  0400   56748   14400     221.7     -9.0    -21.3
2014 04 01  0500   56748   18000     221.7     -8.9    -21.3
2014 04 01  0600   56748   21600     221.7     -8.8    -21.3
2014 04 01  0700   56748   25200     221.7     -8.8    -21.3
2014 04 01  0800   56748   28800     221.7     -8.7    -21.2
2014 04 01  0900   56748   32400     221.7     -8.6    -21.2
2014 04 01  1000   56748   36000     221.7     -8.6    -21.2
2014 04 01  1100   56748   39600     221.7     -8.5    -21.2
2014 04 01  1200   56748   43200     221.7     -8.4    -21.2
2014 04 01  1300   56748   46800     221.7     -8.4    -21.2
2014 04 01  1400   56748   50400     221.7     -8.3    -21.2
2014 04 01  1500   56748   54000     221.7     -8.2    -21.2
2014 04 01  1600   56748   57600     221.7     -8.2    -21.1
2014 04 01  1700   56748   61200     221.7     -8.1    -21.1
2014 04 01  1800   56748   64800     221.6     -8.0    -21.1
2014 04 01  1900   56748   68400     221.6     -8.0    -21.1
2014 04 01  2000   56748   72000     221.6     -7.9    -21.1
2014 04 01  2100   56748   75600     221.6     -7.9    -21.1
2014 04 01  2200   56748   79200     221.6     -7.8    -21.1
2014 04 01  2300   56748   82800     221.6     -7.7    -21.1
2014 04 02  0000   56749       0     221.6     -7.7    -21.0
2014 04 02  0100   56749    3600     221.6     -7.6    -21.0
2014 04 02  0200   56749    7200     221.6     -7.5    -21.0
2014 04 02  0300   56749   10800     221.6     -7.5    -21.0
2014 04 02  0400   56749   14400     221.6     -7.4    -21.0
2014 04 02  0500   56749   18000     221.6     -7.3    -21.0
2014 04 02  0600   56749   21600     221.6     -7.3    -21.0
2014 04 02  0700   56749   25200     221.6     -7.2    -20.9
2014 04 02  0800   56749   28800     221.6     -7.1    -20.9
2014 04 02  0900   56749   32400     221.6     -7.1    -20.9
2014 04 02  1000   56749   36000     221.6     -7.0    -20.9
2014 04 02  1100   56749   39600     221.6     -6.9    -20.9
2014 04 02  1200   56749   43200     221.6     -6.9    -20.9
2014 04 02  1300   56749   46800     221.6     -6.8    -20.9
2014 04 02  1400   56749   50400     221.6     -6.7    -20.8
2014 04 02  1500   56749   54000     221.6     -6.7    -20.8
2014 04 02  1600   56749   57600     221.6     -6.6    -20.8
2014 04 02  1700   56749   61200     221.6     -6.5    -20.8
2014 04 02  1800   56749   64800     221.6     -6.5    -20.8
2014 04 02  1900   56749   68400     221.6     -6.4    -20.8
2014 04 02  2000   56749   72000     221.6     -6.3    -20.8
2014 04 02  2100   56749   75600     221.6     -6.3    -20.7
2014 04 02  2200   56749   79200     221.6     -6.2    -20.7
2014 04 02  2300   56749   82800     221.6     -6.1    -20.7
2014 04 03  0000   56750       0     221.6     -6.1    -20.7
2014 04 03  0100   56750    3600     221.6     -6.0    -20.7
2014 04 03  0200   56750    7200     221.6     -6.0    -20.7
2014 04 03  0300   56750   10800     221.6     -5.9    -20.7
2014 04 03  0400   56750   14400     221.6     -5.8    -20.6
2014 04 03  0500   56750   18000     221.6     -5.8    -20.6
2014 04 03  0600   56750   21600     221.6     -5.7    -20.6
2014 04 03  0700   56750   25200     221.6     -5.6    -20.6
2014 04 03  0800   56750   28800     221.5     -5.6    -20.6
2014 04 03  0900   56750   32400     221.5     -5.5    -20.6
2014 04 03  1000   56750   36000     221.5     -5.4    -20.5
2014 04 03  1100   56750   39600     221.5     -5.4    -20.5
2014 04 03  1200   56750   43200     221.5     -5.3    -20.5
2014 04 03  1300   56750   46800     221.5     -5.2    -20.5
2014 04 03  1400   56750   50400     221.5     -5.2    -20.5
2014 04 03  1500   56750   54000     221.5     -5.1    -20.5
2014 04 03  1600   56750   57600     221.5     -5.0    -20.5
2014 04 03  1700   56750   61200     221.5     -5.0    -20.4
2014 04 03  1800   56750   64800     221.5     -4.9    -20.4
2014 04 03  1900   56750   68400     221.5     -4.8    -20.4
2014 04 03  2000   56750   72000     221.5     -4.8    -20.4
2014 04 03  2100   56750   75600     221.5     -4.7    -20.4
2014 04 03  2200   56750   79200     221.5     -4.7    -20.4
2014 04 03  2300   56750   82800     221.5     -4.6    -20.3
2014 04 04  0000   56751       0     221.5     -4.5    -20.3
2014 04 04  0100   56751    3600     221.5     -4.5    -20.3
2014 04 04  0200   56751    7200     221.5     -4.4    -20.3
2014 04 04  0300   56751   10800     221.5     -4.3    -20.3
