:Product: 202309_ace_swepam_1h.txt
:Issued: 2023 Sep 05 0810 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   Hourly Averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2023 09 01  0000   60188       0    0        4.0      430.6     1.30e+05
2023 09 01  0100   60188    3600    1        2.6      435.7     1.20e+05
2023 09 01  0200   60188    7200    0        2.3      382.5     1.17e+05
2023 09 01  0300   60188   10800    9    -9999.9    -9999.9    -1.00e+05
2023 09 01  0400   60188   14400    0        3.0      414.2     1.08e+05
2023 09 01  0500   60188   18000    0        2.9      387.0     1.17e+05
2023 09 01  0600   60188   21600    0        2.6      358.7     1.26e+05
2023 09 01  0700   60188   25200    0        4.7      384.0     1.36e+05
2023 09 01  0800   60188   28800    0        4.4      394.6     1.43e+05
2023 09 01  0900   60188   32400    9    -9999.9    -9999.9    -1.00e+05
2023 09 01  1000   60188   36000    0        6.0      394.2     1.04e+05
2023 09 01  1100   60188   39600    0        5.6      414.3     9.43e+04
2023 09 01  1200   60188   43200    0        6.8      400.2     1.32e+05
2023 09 01  1300   60188   46800    0        5.9      394.5     1.10e+05
2023 09 01  1400   60188   50400    0        5.2      396.3     9.65e+04
2023 09 01  1500   60188   54000    9    -9999.9    -9999.9    -1.00e+05
2023 09 01  1600   60188   57600    0        3.5      401.1     1.19e+05
2023 09 01  1700   60188   61200    0        3.5      415.0     1.31e+05
2023 09 01  1800   60188   64800    0        2.3      459.0     1.82e+05
2023 09 01  1900   60188   68400    0        1.5      533.2     2.17e+05
2023 09 01  2000   60188   72000    0        1.5      539.7     2.80e+05
2023 09 01  2100   60188   75600    9    -9999.9    -9999.9    -1.00e+05
2023 09 01  2200   60188   79200    0        1.8      577.5     3.35e+05
2023 09 01  2300   60188   82800    0        1.5      566.8     3.58e+05
2023 09 02  0000   60189       0    0        1.5      559.3     4.10e+05
2023 09 02  0100   60189    3600    0        1.7      553.8     3.15e+05
2023 09 02  0200   60189    7200    0        1.7      558.2     3.22e+05
2023 09 02  0300   60189   10800    9    -9999.9    -9999.9    -1.00e+05
2023 09 02  0400   60189   14400    1        1.6      631.1     4.50e+05
2023 09 02  0500   60189   18000    0        1.2      663.3     4.37e+05
2023 09 02  0600   60189   21600    0        1.3      723.1     3.59e+05
2023 09 02  0700   60189   25200    0        0.8      713.4     2.81e+05
2023 09 02  0800   60189   28800    0        1.2      712.8     2.94e+05
2023 09 02  0900   60189   32400    9    -9999.9    -9999.9    -1.00e+05
2023 09 02  1000   60189   36000    0        1.2      652.9     3.51e+05
2023 09 02  1100   60189   39600    0        2.1      625.8     3.16e+05
2023 09 02  1200   60189   43200    0        2.0      595.4     2.55e+05
