:Product: 202202_ace_swepam_1h.txt
:Issued: 2022 Feb 03 0910 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   Hourly Averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2022 02 01  0000   59611       0    9    -9999.9    -9999.9    -1.00e+05
2022 02 01  0100   59611    3600    9    -9999.9    -9999.9    -1.00e+05
2022 02 01  0200   59611    7200    9    -9999.9    -9999.9    -1.00e+05
2022 02 01  0300   59611   10800    9    -9999.9    -9999.9    -1.00e+05
2022 02 01  0400   59611   14400    3    -9999.9    -9999.9    -1.00e+05
2022 02 01  0500   59611   18000    1        2.8      419.3     1.81e+05
2022 02 01  0600   59611   21600    3    -9999.9    -9999.9    -1.00e+05
2022 02 01  0700   59611   25200    0       34.4      402.7     1.26e+05
2022 02 01  0800   59611   28800    1        8.0      407.0     1.62e+05
2022 02 01  0900   59611   32400    0        5.9      414.1     1.92e+05
2022 02 01  1000   59611   36000    0        2.8      422.8     1.42e+05
2022 02 01  1100   59611   39600    0        3.3      406.4     1.07e+05
2022 02 01  1200   59611   43200    0        2.6      398.1     1.18e+05
2022 02 01  1300   59611   46800    1        2.6      378.7     1.17e+05
2022 02 01  1400   59611   50400    0        2.9      379.2     1.33e+05
2022 02 01  1500   59611   54000    0        3.0      376.7     9.62e+04
2022 02 01  1600   59611   57600    0        3.2      371.5     7.16e+04
2022 02 01  1700   59611   61200    0        2.6      357.9     7.58e+04
2022 02 01  1800   59611   64800    9    -9999.9    -9999.9    -1.00e+05
2022 02 01  1900   59611   68400    9    -9999.9    -9999.9    -1.00e+05
2022 02 01  2000   59611   72000    0        2.7      354.5     5.12e+04
2022 02 01  2100   59611   75600    1        3.3      395.0     1.09e+05
2022 02 01  2200   59611   79200    0        6.3      472.5     1.96e+05
2022 02 01  2300   59611   82800    1       67.3      412.2     3.47e+05
2022 02 02  0000   59612       0    0        9.6      471.6     1.34e+05
2022 02 02  0100   59612    3600    0       10.0      469.4     8.84e+04
2022 02 02  0200   59612    7200    0        7.4      469.7     1.61e+05
2022 02 02  0300   59612   10800    0        8.5      461.6     1.73e+05
2022 02 02  0400   59612   14400    0        8.2      453.8     1.80e+05
2022 02 02  0500   59612   18000    3    -9999.9    -9999.9    -1.00e+05
2022 02 02  0600   59612   21600    3    -9999.9    -9999.9    -1.00e+05
2022 02 02  0700   59612   25200    0        9.2      450.6     8.82e+04
2022 02 02  0800   59612   28800    0        8.3      448.6     1.31e+05
2022 02 02  0900   59612   32400    0        4.7      460.3     1.26e+05
2022 02 02  1000   59612   36000    0        4.8      453.9     1.03e+05
2022 02 02  1100   59612   39600    0        5.2      449.1     9.26e+04
2022 02 02  1200   59612   43200    0        4.3      441.0     8.69e+04
2022 02 02  1300   59612   46800    3    -9999.9    -9999.9    -1.00e+05
2022 02 02  1400   59612   50400    0        5.1      427.9     5.22e+04
2022 02 02  1500   59612   54000    0        6.5      420.5     4.76e+04
2022 02 02  1600   59612   57600    0        6.5      416.9     5.56e+04
2022 02 02  1700   59612   61200    0        6.7      408.6     6.46e+04
2022 02 02  1800   59612   64800    0        7.0      405.9     7.21e+04
2022 02 02  1900   59612   68400    0        5.1      410.2     9.30e+04
2022 02 02  2000   59612   72000    0        7.1      421.2     1.03e+05
2022 02 02  2100   59612   75600    0        6.1      412.2     8.13e+04
2022 02 02  2200   59612   79200    0        5.2      419.7     7.38e+04
2022 02 02  2300   59612   82800    3    -9999.9    -9999.9    -1.00e+05
2022 02 03  0000   59613       0    3    -9999.9    -9999.9    -1.00e+05
2022 02 03  0100   59613    3600    3    -9999.9    -9999.9    -1.00e+05
2022 02 03  0200   59613    7200    9    -9999.9    -9999.9    -1.00e+05
2022 02 03  0300   59613   10800    9    -9999.9    -9999.9    -1.00e+05
2022 02 03  0400   59613   14400    3    -9999.9    -9999.9    -1.00e+05
2022 02 03  0500   59613   18000    1        2.3      414.2     7.89e+04
2022 02 03  0600   59613   21600    1        6.6      507.1     3.81e+05
2022 02 03  0700   59613   25200    1       27.5      484.9     9.24e+05
2022 02 03  0800   59613   28800    0        1.5      479.1     1.93e+05
