:Product: 202203_ace_swepam_1h.txt
:Issued: 2022 Mar 06 0910 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   Hourly Averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2022 03 01  0000   59639       0    1        2.1      484.1     1.86e+05
2022 03 01  0100   59639    3600    9    -9999.9    -9999.9    -1.00e+05
2022 03 01  0200   59639    7200    1        2.7      510.3     5.69e+05
2022 03 01  0300   59639   10800    3    -9999.9    -9999.9    -1.00e+05
2022 03 01  0400   59639   14400    3    -9999.9    -9999.9    -1.00e+05
2022 03 01  0500   59639   18000    9    -9999.9    -9999.9    -1.00e+05
2022 03 01  0600   59639   21600    9    -9999.9    -9999.9    -1.00e+05
2022 03 01  0700   59639   25200    9    -9999.9    -9999.9    -1.00e+05
2022 03 01  0800   59639   28800    0        2.1      537.3     2.05e+05
2022 03 01  0900   59639   32400    0        1.8      524.2     2.41e+05
2022 03 01  1000   59639   36000    0        2.4      523.5     1.85e+05
2022 03 01  1100   59639   39600    0        1.9      531.0     1.64e+05
2022 03 01  1200   59639   43200    0        2.0      528.7     1.95e+05
2022 03 01  1300   59639   46800    0        2.1      527.7     1.97e+05
2022 03 01  1400   59639   50400    0        1.8      535.9     1.45e+05
2022 03 01  1500   59639   54000    0        2.0      537.9     1.49e+05
2022 03 01  1600   59639   57600    3    -9999.9    -9999.9    -1.00e+05
2022 03 01  1700   59639   61200    0        2.1      516.3     1.59e+05
2022 03 01  1800   59639   64800    0        1.9      515.8     1.39e+05
2022 03 01  1900   59639   68400    0        1.9      515.6     1.32e+05
2022 03 01  2000   59639   72000    0        1.9      497.6     1.20e+05
2022 03 01  2100   59639   75600    0        1.8      492.5     1.30e+05
2022 03 01  2200   59639   79200    0        1.9      496.2     1.02e+05
2022 03 01  2300   59639   82800    9    -9999.9    -9999.9    -1.00e+05
2022 03 02  0000   59640       0    9    -9999.9    -9999.9    -1.00e+05
2022 03 02  0100   59640    3600    9    -9999.9    -9999.9    -1.00e+05
2022 03 02  0200   59640    7200    9    -9999.9    -9999.9    -1.00e+05
2022 03 02  0300   59640   10800    9    -9999.9    -9999.9    -1.00e+05
2022 03 02  0400   59640   14400    9    -9999.9    -9999.9    -1.00e+05
2022 03 02  0500   59640   18000    9    -9999.9    -9999.9    -1.00e+05
2022 03 02  0600   59640   21600    9    -9999.9    -9999.9    -1.00e+05
2022 03 02  0700   59640   25200    1        2.5      461.9     7.91e+04
2022 03 02  0800   59640   28800    1       11.3      457.5     1.16e+05
2022 03 02  0900   59640   32400    0        3.7      457.6     6.89e+04
2022 03 02  1000   59640   36000    0        3.2      456.0     6.98e+04
2022 03 02  1100   59640   39600    0        2.5      453.6     6.71e+04
2022 03 02  1200   59640   43200    0        2.9      451.6     6.54e+04
2022 03 02  1300   59640   46800    0        2.6      446.9     5.86e+04
2022 03 02  1400   59640   50400    0        2.9      442.6     5.67e+04
2022 03 02  1500   59640   54000    0        2.9      440.4     5.53e+04
