:Product: 202003_ace_mag_1h.txt
:Issued: 2020 Mar 31 0810 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              Hourly Averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2020 03 01  0000   58909       0    0     1.4    -1.8    -1.3     2.6   -30.3   307.0
2020 03 01  0100   58909    3600    0     4.2    -1.6     0.5     4.6     6.0   339.3
2020 03 01  0200   58909    7200    0     3.7    -1.3     1.0     4.0    14.1   340.4
2020 03 01  0300   58909   10800    0     2.5     1.5    -1.0     3.1   -18.3    30.1
2020 03 01  0400   58909   14400    0    -0.4    -0.7    -0.6     1.0   -36.8   239.3
2020 03 01  0500   58909   18000    0     1.3    -0.4    -0.0     1.4    -0.8   343.5
2020 03 01  0600   58909   21600    0     1.8    -0.2    -0.7     2.0   -19.8   352.4
2020 03 01  0700   58909   25200    0     0.2    -0.8    -1.9     2.1   -67.4   284.5
2020 03 01  0800   58909   28800    0     1.1    -1.2    -1.9     2.5   -48.9   313.1
2020 03 01  0900   58909   32400    0     2.1    -1.1    -0.1     2.3    -2.7   331.6
2020 03 01  1000   58909   36000    0     2.6    -1.1     0.2     2.8     4.9   337.3
2020 03 01  1100   58909   39600    0     2.2    -1.6     0.5     2.7    10.0   324.3
2020 03 01  1200   58909   43200    0     2.6    -1.1     0.2     2.8     3.5   336.6
2020 03 01  1300   58909   46800    0     2.5    -1.0    -0.3     2.8    -6.7   337.8
2020 03 01  1400   58909   50400    0     0.5    -1.4    -0.1     1.5    -2.3   288.8
2020 03 01  1500   58909   54000    0    -0.0    -1.7    -0.6     1.8   -19.3   269.2
2020 03 01  1600   58909   57600    0     1.2    -3.0    -0.7     3.3   -12.0   291.2
2020 03 01  1700   58909   61200    0     2.2    -1.7     0.5     2.9    10.7   322.3
2020 03 01  1800   58909   64800    0     2.9    -2.1     0.5     3.6     8.4   324.4
2020 03 01  1900   58909   68400    0     1.9    -3.3     0.8     3.9    12.4   300.1
2020 03 01  2000   58909   72000    0    -0.1    -3.3    -2.1     4.0   -32.9   267.8
2020 03 01  2100   58909   75600    0     0.1    -2.9    -1.3     3.2   -24.4   271.2
2020 03 01  2200   58909   79200    0     0.5    -3.5    -0.7     3.6   -11.1   278.3
2020 03 01  2300   58909   82800    0    -0.9    -3.1    -1.5     3.5   -24.6   254.5
2020 03 02  0000   58910       0    0    -1.8    -1.1    -2.1     2.9   -44.7   211.1
2020 03 02  0100   58910    3600    0    -3.5    -0.3    -0.8     3.6   -12.8   185.7
2020 03 02  0200   58910    7200    0     0.5     2.2     0.7     2.3    17.7    76.8
2020 03 02  0300   58910   10800    0     1.4     1.7     0.7     2.3    18.1    50.8
2020 03 02  0400   58910   14400    0     1.8     1.6     0.4     2.5    10.5    42.9
2020 03 02  0500   58910   18000    0     1.6     2.3     1.8     3.3    32.1    54.6
2020 03 02  0600   58910   21600    0     3.1    -1.2     1.5     3.7    23.7   339.3
2020 03 02  0700   58910   25200    0     2.2     0.4     0.5     2.3    13.7     9.4
2020 03 02  0800   58910   28800    0     0.0     0.4    -0.3     0.5   -37.1    88.4
2020 03 02  0900   58910   32400    0    -0.3    -2.4    -1.7     3.0   -35.6   263.5
2020 03 02  1000   58910   36000    0     1.6    -3.7    -1.4     4.3   -19.3   294.3
2020 03 02  1100   58910   39600    0     4.6    -2.0     1.8     5.3    19.8   337.0
2020 03 02  1200   58910   43200    0     2.8    -5.1    -2.1     6.2   -19.8   298.9
2020 03 02  1300   58910   46800    0     3.3    -2.7     1.2     4.4    15.3   321.2
2020 03 02  1400   58910   50400    2     2.8     2.0     2.7     4.3    37.8    35.0
2020 03 02  1500   58910   54000    2     3.9    -2.0     2.4     5.0    28.6   333.5
2020 03 02  1600   58910   57600    0     3.4    -1.7     1.8     4.3    25.7   333.3
2020 03 02  1700   58910   61200    0     4.3     0.4     2.1     4.8    26.4     5.9
2020 03 02  1800   58910   64800    0     4.3    -1.5     0.4     4.6     5.0   340.3
2020 03 02  1900   58910   68400    0     3.6    -0.1     1.0     3.7    15.1   358.7
2020 03 02  2000   58910   72000    0     1.1    -0.2     2.2     2.4    62.5   349.2
2020 03 02  2100   58910   75600    0     2.6    -2.4     1.5     3.9    23.0   317.9
2020 03 02  2200   58910   79200    0     3.5    -2.7     2.4     5.0    28.5   322.8
2020 03 02  2300   58910   82800    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2020 03 03  0000   58911       0    0     4.8    -0.8     0.4     4.9     4.1   350.2
2020 03 03  0100   58911    3600    0     3.2     0.3     2.8     4.3    40.7     5.7
2020 03 03  0200   58911    7200    0     1.1     1.5     3.2     3.7    60.1    52.0
2020 03 03  0300   58911   10800    0     1.1     1.0     2.7     3.1    61.0    43.6
2020 03 03  0400   58911   14400    0     0.5     1.9     1.6     2.5    39.3    73.8
2020 03 03  0500   58911   18000    0    -0.9    -0.8    -1.9     2.3   -58.5   220.4
