:Product: 202112_ace_mag_1h.txt
:Issued: 2021 Dec 05 0910 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              Hourly Averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2021 12 01  0000   59549       0    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 01  0100   59549    3600    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 01  0200   59549    7200    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 01  0300   59549   10800    0    -3.3     6.3    -0.8     7.1    -6.7   117.6
2021 12 01  0400   59549   14400    0    -3.9     5.3    -3.2     7.3   -25.9   126.3
2021 12 01  0500   59549   18000    0    -1.8     5.2    -0.4     5.5    -4.5   109.1
2021 12 01  0600   59549   21600    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 01  0700   59549   25200    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 01  0800   59549   28800    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 01  0900   59549   32400    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 01  1000   59549   36000    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 01  1100   59549   39600    0    -2.6    -3.9    -3.9     6.1   -40.1   236.4
2021 12 01  1200   59549   43200    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 01  1300   59549   46800    0    -5.2     0.4    -3.5     6.3   -33.5   175.1
2021 12 01  1400   59549   50400    0    -4.2     3.7    -0.5     5.6    -5.0   139.0
2021 12 01  1500   59549   54000    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 01  1600   59549   57600    0    -2.7     3.8    -2.0     5.1   -23.6   126.0
2021 12 01  1700   59549   61200    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 01  1800   59549   64800    0    -1.5     3.6    -3.1     5.0   -38.4   112.7
2021 12 01  1900   59549   68400    0    -2.6     5.3    -2.3     6.3   -21.1   115.7
2021 12 01  2000   59549   72000    0    -1.7     5.4    -1.6     5.9   -16.0   107.1
2021 12 01  2100   59549   75600    0     1.9     5.9     1.2     6.4    10.6    72.3
2021 12 01  2200   59549   79200    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 01  2300   59549   82800    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 02  0000   59550       0    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 02  0100   59550    3600    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 02  0200   59550    7200    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 02  0300   59550   10800    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 02  0400   59550   14400    0     2.0     1.7    -1.1     2.8   -22.7    40.4
2021 12 02  0500   59550   18000    0     2.4     2.4    -2.6     4.3   -37.4    45.1
2021 12 02  0600   59550   21600    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 02  0700   59550   25200    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 02  0800   59550   28800    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 02  0900   59550   32400    0    -0.6     3.8     0.1     3.9     2.0    98.8
2021 12 02  1000   59550   36000    0    -2.5     3.9     0.3     4.6     4.2   122.9
2021 12 02  1100   59550   39600    0    -2.3     3.2     0.7     4.0    10.5   125.5
2021 12 02  1200   59550   43200    0    -2.8     2.9    -0.8     4.1   -11.1   133.9
2021 12 02  1300   59550   46800    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 02  1400   59550   50400    0    -1.3     0.3    -4.1     4.3   -72.3   167.0
2021 12 02  1500   59550   54000    0    -1.9     2.0    -3.0     4.1   -47.5   132.6
2021 12 02  1600   59550   57600    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 02  1700   59550   61200    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 02  1800   59550   64800    0    -2.3    -1.6    -2.0     3.4   -34.9   214.9
2021 12 02  1900   59550   68400    0    -3.5     0.8     0.0     3.6     0.3   167.6
2021 12 02  2000   59550   72000    0    -4.1     0.7    -0.4     4.2    -5.4   169.8
2021 12 02  2100   59550   75600    0    -4.5     0.8    -0.4     4.6    -4.4   170.1
2021 12 02  2200   59550   79200    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 02  2300   59550   82800    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 03  0000   59551       0    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 03  0100   59551    3600    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 03  0200   59551    7200    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 03  0300   59551   10800    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 03  0400   59551   14400    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 03  0500   59551   18000    0    -1.9     2.3     1.2     3.2    21.3   129.1
2021 12 03  0600   59551   21600    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 03  0700   59551   25200    0    -2.7     2.4    -1.3     3.8   -19.6   139.0
2021 12 03  0800   59551   28800    0    -2.4     2.7    -2.2     4.2   -31.4   131.7
2021 12 03  0900   59551   32400    0    -2.3     4.3    -3.6     6.1   -36.5   118.5
2021 12 03  1000   59551   36000    0    -1.2     5.0    -2.8     5.9   -28.3   103.6
2021 12 03  1100   59551   39600    0    -2.1     3.9    -4.2     6.1   -43.5   118.8
2021 12 03  1200   59551   43200    0    -2.0     4.2    -4.8     6.7   -45.6   115.2
2021 12 03  1300   59551   46800    0    -2.3     4.4    -4.6     6.8   -43.0   117.1
2021 12 03  1400   59551   50400    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 03  1500   59551   54000    0     2.0     6.7     1.1     7.1     9.0    73.3
2021 12 03  1600   59551   57600    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 03  1700   59551   61200    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 03  1800   59551   64800    0    -4.4    -2.5    -1.7     5.4   -18.3   209.6
2021 12 03  1900   59551   68400    0    -4.5    -2.8     2.0     5.7    20.0   211.9
2021 12 03  2000   59551   72000    0    -4.7     0.4     2.4     5.2    27.0   175.7
2021 12 03  2100   59551   75600    0    -3.7     4.5    -1.0     5.9    -9.3   129.9
2021 12 03  2200   59551   79200    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 03  2300   59551   82800    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 04  0000   59552       0    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 04  0100   59552    3600    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 04  0200   59552    7200    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 04  0300   59552   10800    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 04  0400   59552   14400    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 04  0500   59552   18000    0    -1.4     3.4    -1.0     3.8   -15.0   112.0
2021 12 04  0600   59552   21600    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 04  0700   59552   25200    0    -4.0     2.4    -1.3     4.8   -15.4   149.2
2021 12 04  0800   59552   28800    0    -4.7     1.1    -0.6     4.9    -7.1   166.5
2021 12 04  0900   59552   32400    0    -4.9     0.2    -0.1     4.9    -1.4   177.2
2021 12 04  1000   59552   36000    0    -4.9    -0.2     0.1     4.9     1.7   182.5
2021 12 04  1100   59552   39600    0    -4.8    -0.0    -0.5     4.9    -6.4   180.0
2021 12 04  1200   59552   43200    0    -4.6    -0.4    -0.7     4.6    -8.2   185.2
2021 12 04  1300   59552   46800    0    -2.3     2.1    -0.8     3.2   -13.7   138.7
